Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.152255,12,-44,-119.65
0.119776,12,-36,-119.65
0.161841,12,-28,-119.65
0.136312,20,-28,-119.65
0.150098,12,-20,-119.65
0.136911,20,-20,-119.65
0.098606,20,-12,-119.65
-0.125284,-20,-68,-111.65
-0.208313,-12,-68,-111.65
-0.0144648,-20,-60,-111.65
-0.112203,-12,-60,-111.65
0.142277,12,-60,-111.65
0.0478146,-28,-52,-111.65
0.0415937,-20,-52,-111.65
-0.0522152,-12,-52,-111.65
-0.0218083,4,-52,-111.65
0.122931,12,-52,-111.65
0.180957,20,-52,-111.65
0.15884,-28,-44,-111.65
0.117985,-20,-44,-111.65
0.0677653,12,-44,-111.65
0.171637,20,-44,-111.65
0.196875,-28,-36,-111.65
0.16649,-20,-36,-111.65
0.042695,12,-36,-111.65
0.125856,20,-36,-111.65
0.163986,-28,-28,-111.65
0.125315,-20,-28,-111.65
0.071096,12,-28,-111.65
0.114355,20,-28,-111.65
0.169125,-28,-20,-111.65
0.0759013,12,-20,-111.65
0.110996,20,-20,-111.65
0.129632,-28,-12,-111.65
0.0719044,-20,-12,-111.65
0.0727482,12,-12,-111.65
0.117506,20,-12,-111.65
0.10045,-28,-4,-111.65
0.0580781,-20,-4,-111.65
0.0440666,-12,-4,-111.65
-0.00649189,-4,-4,-111.65
0.074663,20,-4,-111.65
0.0225397,-12,4,-111.65
0.0121114,-4,4,-111.65
0.0162589,4,4,-111.65
0.0895728,-12,-92,-103.65
0.0421231,-4,-92,-103.65
0.0341034,-20,-84,-103.65
0.0220867,-12,-84,-103.65
-0.000929687,-4,-84,-103.65
-0.0119641,4,-84,-103.65
0.0537836,-20,-76,-103.65
0.0357052,-12,-76,-103.65
0.0191651,-4,-76,-103.65
0.00357435,4,-76,-103.65
0.0722672,12,-76,-103.65
0.0511916,-28,-68,-103.65
0.0891532,-20,-68,-103.65
0.0514258,-12,-68,-103.65
0.0366599,-4,-68,-103.65
0.0865042,12,-68,-103.65
0.117996,-28,-60,-103.65
0.116299,-20,-60,-103.65
0.0574161,-12,-60,-103.65
0.110461,12,-60,-103.65
0.12829,20,-60,-103.65
0.120824,-28,-52,-103.65
0.114979,-20,-52,-103.65
0.0493381,-12,-52,-103.65
0.0637653,12,-52,-103.65
0.119947,20,-52,-103.65
0.212235,-36,-44,-103.65
0.162273,-28,-44,-103.65
0.142077,-20,-44,-103.65
0.0442249,-12,-44,-103.65
0.00215567,12,-44,-103.65
0.111941,20,-44,-103.65
0.196128,28,-44,-103.65
0.239421,-36,-36,-103.65
0.187255,-28,-36,-103.65
0.163822,-20,-36,-103.65
0.00893706,12,-36,-103.65
0.101639,20,-36,-103.65
0.176835,28,-36,-103.65
0.215746,-36,-28,-103.65
0.170778,-28,-28,-103.65
0.133023,-20,-28,-103.65
0.0567549,12,-28,-103.65
0.116867,20,-28,-103.65
0.165895,28,-28,-103.65
0.191656,-36,-20,-103.65
0.157478,-28,-20,-103.65
0.0697077,12,-20,-103.65
0.120605,20,-20,-103.65
0.161172,28,-20,-103.65
0.194175,-36,-12,-103.65
0.147306,-28,-12,-103.65
0.0981937,-20,-12,-103.65
0.0800991,12,-12,-103.65
0.123096,20,-12,-103.65
0.166115,28,-12,-103.65
0.172788,-36,-4,-103.65
0.140964,-28,-4,-103.65
0.111272,-20,-4,-103.65
0.0711964,-12,-4,-103.65
0.0563607,4,-4,-103.65
0.0789609,12,-4,-103.65
0.105263,20,-4,-103.65
0.133042,28,-4,-103.65
0.119455,-36,4,-103.65
0.119046,-28,4,-103.65
0.0988924,-20,4,-103.65
0.0841434,-12,4,-103.65
0.041333,-4,4,-103.65
0.0333962,4,4,-103.65
0.0760093,20,4,-103.65
0.0775928,-28,12,-103.65
0.103373,-4,12,-103.65
0.107831,20,12,-103.65
0.104934,-12,-100,-95.65
0.109172,-4,-100,-95.65
0.101147,-20,-92,-95.65
0.121638,-12,-92,-95.65
0.114189,-4,-92,-95.65
0.0970672,4,-92,-95.65
-0.0220766,-28,-84,-95.65
0.0865506,-20,-84,-95.65
0.0944563,-12,-84,-95.65
0.0886971,-4,-84,-95.65
0.0830559,4,-84,-95.65
0.0901583,12,-84,-95.65
0.0175885,-28,-76,-95.65
0.0936548,-20,-76,-95.65
0.0990305,-12,-76,-95.65
0.0845816,-4,-76,-95.65
0.0759307,4,-76,-95.65
0.0988859,12,-76,-95.65
0.0504874,20,-76,-95.65
