Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0404645,-32,-104,-112.25
0.0369858,-24,-104,-112.25
0.0340101,-16,-104,-112.25
0.026135,-8,-104,-112.25
0.0377795,-32,-96,-112.25
0.0460243,-24,-96,-112.25
0.0474882,-16,-96,-112.25
0.0443772,-8,-96,-112.25
0.0375792,0,-96,-112.25
0.0287003,8,-96,-112.25
0.0539295,-24,-88,-112.25
0.0525101,-16,-88,-112.25
0.0528203,-8,-88,-112.25
0.0470557,0,-88,-112.25
0.0453628,8,-88,-112.25
0.0465031,16,-88,-112.25
0.0560601,-48,-80,-112.25
0.0566159,-16,-80,-112.25
0.0608667,-8,-80,-112.25
0.0565958,0,-80,-112.25
0.0592774,8,-80,-112.25
0.0552819,16,-80,-112.25
0.0598984,-24,-72,-112.25
0.064324,-16,-72,-112.25
0.0655002,-8,-72,-112.25
0.0641659,0,-72,-112.25
0.0706764,8,-72,-112.25
0.0684741,16,-72,-112.25
0.0425605,-32,-64,-112.25
0.0694871,-24,-64,-112.25
0.0675792,-16,-64,-112.25
0.0703782,-8,-64,-112.25
0.0718162,0,-64,-112.25
0.0743924,8,-64,-112.25
0.0676457,16,-64,-112.25
0.071413,-8,-56,-112.25
0.0712959,0,-56,-112.25
0.0700404,8,-56,-112.25
0.0633438,-8,-48,-112.25
0.0308151,-32,-112,-104.25
0.0292168,-24,-112,-104.25
0.0218843,-16,-112,-104.25
0.0380365,-32,-104,-104.25
0.0384001,-24,-104,-104.25
0.0356505,-16,-104,-104.25
0.031201,-8,-104,-104.25
0.0239648,0,-104,-104.25
0.0340735,-40,-96,-104.25
0.0411409,-32,-96,-104.25
0.0461495,-24,-96,-104.25
0.0453186,-16,-96,-104.25
0.0420245,-8,-96,-104.25
0.037556,0,-96,-104.25
0.0321824,8,-96,-104.25
0.0332101,16,-96,-104.25
0.0345212,-48,-88,-104.25
0.051998,-40,-88,-104.25
0.0524585,-32,-88,-104.25
0.0524801,-24,-88,-104.25
0.0505649,-16,-88,-104.25
0.0494258,-8,-88,-104.25
0.0456804,0,-88,-104.25
0.0418228,8,-88,-104.25
0.0390014,16,-88,-104.25
0.0372497,-48,-80,-104.25
0.055222,-40,-80,-104.25
0.0563145,-32,-80,-104.25
0.0550647,-24,-80,-104.25
0.0527834,-16,-80,-104.25
0.0528561,-8,-80,-104.25
0.0503549,0,-80,-104.25
0.0482145,8,-80,-104.25
0.04072,16,-80,-104.25
0.0127137,24,-80,-104.25
0.038855,-48,-72,-104.25
0.050376,-40,-72,-104.25
0.0506206,-32,-72,-104.25
0.0525673,-24,-72,-104.25
0.0521662,-16,-72,-104.25
0.0504819,-8,-72,-104.25
0.0478241,0,-72,-104.25
0.0483318,8,-72,-104.25
0.0460104,16,-72,-104.25
0.0248049,24,-72,-104.25
0.0292012,-48,-64,-104.25
0.0498981,-40,-64,-104.25
0.0501684,-32,-64,-104.25
0.0539529,-24,-64,-104.25
0.0499912,-16,-64,-104.25
0.0470484,-8,-64,-104.25
0.0447311,0,-64,-104.25
0.0444976,8,-64,-104.25
0.0446435,16,-64,-104.25
0.0291578,24,-64,-104.25
0.0381729,-48,-56,-104.25
0.0491544,-40,-56,-104.25
0.0526097,-32,-56,-104.25
0.0517456,-24,-56,-104.25
0.0452908,-16,-56,-104.25
0.0436227,-8,-56,-104.25
0.042913,0,-56,-104.25
0.042665,8,-56,-104.25
0.0493962,16,-56,-104.25
0.0418411,24,-56,-104.25
0.0268756,-56,-48,-104.25
0.0450283,-48,-48,-104.25
0.0534806,-40,-48,-104.25
0.0549644,-32,-48,-104.25
0.0525788,-24,-48,-104.25
0.041579,-16,-48,-104.25
0.0408406,-8,-48,-104.25
0.0414518,0,-48,-104.25
0.0404921,8,-48,-104.25
0.0497619,16,-48,-104.25
0.0466684,24,-48,-104.25
0.0391669,-56,-40,-104.25
0.0621486,-48,-40,-104.25
0.0712403,-40,-40,-104.25
0.0644208,-32,-40,-104.25
0.0528914,-24,-40,-104.25
0.0278321,-8,-40,-104.25
0.0394914,8,-40,-104.25
0.0468012,16,-40,-104.25
0.044049,24,-40,-104.25
0.0546744,-56,-32,-104.25
0.0712757,-48,-32,-104.25
0.0773906,-40,-32,-104.25
0.0663927,-32,-32,-104.25
0.0288488,8,-32,-104.25
0.0325111,16,-32,-104.25
0.034716,24,-32,-104.25
0.0439075,-56,-24,-104.25
0.0721423,-48,-24,-104.25
0.0696485,-40,-24,-104.25
0.0762404,-32,-24,-104.25
0.0282073,8,-24,-104.25
0.0403431,16,-24,-104.25
0.0338464,24,-24,-104.25
0.0397989,-56,-16,-104.25
0.0683425,-48,-16,-104.25
0.0774321,-40,-16,-104.25
0.0811357,-32,-16,-104.25
0.0445549,8,-16,-104.25
0.0472452,16,-16,-104.25
0.0388183,24,-16,-104.25
0.0367449,-56,-8,-104.25
0.0714056,-48,-8,-104.25
0.0749872,-40,-8,-104.25
0.0822021,-32,-8,-104.25
0.0617612,0,-8,-104.25
0.0551762,8,-8,-104.25
0.0609033,16,-8,-104.25
0.0536744,24,-8,-104.25
0.0687279,-48,0,-104.25
0.0674309,-40,0,-104.25
0.0793501,-32,0,-104.25
0.0622426,-24,0,-104.25
0.066856,-16,0,-104.25
0.0763832,0,0,-104.25
0.0681909,8,0,-104.25
0.0605038,-40,8,-104.25
0.07237,-32,8,-104.25
0.046817,-24,8,-104.25
0.000541031,-24,-120,-96.25
0.0226065,-40,-112,-96.25
0.0265075,-32,-112,-96.25
0.0241365,-24,-112,-96.25
0.014802,-16,-112,-96.25
0.00129728,-8,-112,-96.25
0.0337875,-40,-104,-96.25
0.036977,-32,-104,-96.25
0.037427,-24,-104,-96.25
0.0357655,-16,-104,-96.25
0.029702,-8,-104,-96.25
0.0255723,0,-104,-96.25
0.0179102,8,-104,-96.25
0.0173778,-48,-96,-96.25
0.0359922,-40,-96,-96.25
0.0419743,-32,-96,-96.25
0.0448673,-24,-96,-96.25
0.0454388,-16,-96,-96.25
0.0432306,-8,-96,-96.25
0.0378503,0,-96,-96.25
0.0343465,8,-96,-96.25
0.0299963,16,-96,-96.25
0.0328781,-48,-88,-96.25
0.0472478,-40,-88,-96.25
0.0510151,-32,-88,-96.25
0.051054,-24,-88,-96.25
0.0527336,-16,-88,-96.25
0.0524768,-8,-88,-96.25
0.0497876,0,-88,-96.25
0.0470079,8,-88,-96.25
0.0388989,16,-88,-96.25
0.0318327,-48,-80,-96.25
0.0468291,-40,-80,-96.25
0.0508888,-32,-80,-96.25
0.0514469,-24,-80,-96.25
0.0541371,-16,-80,-96.25
0.0568394,-8,-80,-96.25
0.0530102,0,-80,-96.25
0.0485112,8,-80,-96.25
0.0377764,16,-80,-96.25
0.00858662,24,-80,-96.25
0.0341608,-48,-72,-96.25
0.0455268,-40,-72,-96.25
0.0476696,-32,-72,-96.25
0.047736,-24,-72,-96.25
0.0463783,-16,-72,-96.25
0.0457439,-8,-72,-96.25
0.0366713,0,-72,-96.25
0.0353288,8,-72,-96.25
0.0388487,16,-72,-96.25
0.0234438,24,-72,-96.25
0.0317456,-48,-64,-96.25
0.0466258,-40,-64,-96.25
0.0478415,-32,-64,-96.25
0.0412659,-24,-64,-96.25
0.0362194,-16,-64,-96.25
0.0319933,-8,-64,-96.25
0.0202293,0,-64,-96.25
0.0222588,8,-64,-96.25
0.0336094,16,-64,-96.25
0.0234626,24,-64,-96.25
0.0178058,-56,-56,-96.25
0.0413886,-48,-56,-96.25
0.0495515,-40,-56,-96.25
0.0451236,-32,-56,-96.25
0.0333581,-24,-56,-96.25
0.0262122,-16,-56,-96.25
0.0255232,-8,-56,-96.25
0.0145299,0,-56,-96.25
0.0180314,8,-56,-96.25
0.0354748,16,-56,-96.25
0.0350362,24,-56,-96.25
0.0311817,-56,-48,-96.25
0.050695,-48,-48,-96.25
0.0557215,-40,-48,-96.25
0.0459634,-32,-48,-96.25
0.0271696,-24,-48,-96.25
0.0127301,-16,-48,-96.25
0.0137408,-8,-48,-96.25
0.0370052,16,-48,-96.25
0.0392459,24,-48,-96.25
0.0260159,32,-48,-96.25
0.0429317,-56,-40,-96.25
0.0595149,-48,-40,-96.25
0.0634937,-40,-40,-96.25
0.048983,-32,-40,-96.25
0.0384186,16,-40,-96.25
0.0404086,24,-40,-96.25
0.022704,32,-40,-96.25
0.0342917,-56,-32,-96.25
0.0608571,-48,-32,-96.25
0.0668502,-40,-32,-96.25
0.0512241,-32,-32,-96.25
0.0312947,16,-32,-96.25
0.0398711,24,-32,-96.25
0.0326127,32,-32,-96.25
0.031528,-56,-24,-96.25
0.060767,-48,-24,-96.25
0.0679439,-40,-24,-96.25
0.0742032,-32,-24,-96.25
0.0173454,8,-24,-96.25
0.0391617,16,-24,-96.25
0.0449184,24,-24,-96.25
0.0414171,32,-24,-96.25
0.0301883,-56,-16,-96.25
0.0614325,-48,-16,-96.25
0.0709427,-40,-16,-96.25
0.0753505,-32,-16,-96.25
0.0367639,8,-16,-96.25
0.047816,16,-16,-96.25
0.0523806,24,-16,-96.25
0.0525649,32,-16,-96.25
0.0312635,-56,-8,-96.25
0.0604303,-48,-8,-96.25
0.0703876,-40,-8,-96.25
0.074043,-32,-8,-96.25
0.0628161,-24,-8,-96.25
0.0386622,8,-8,-96.25
0.0568246,16,-8,-96.25
0.0643603,24,-8,-96.25
0.0626915,32,-8,-96.25
0.036268,-56,0,-96.25
0.063798,-48,0,-96.25
0.0698285,-40,0,-96.25
0.0706786,-32,0,-96.25
0.0512134,-24,0,-96.25
0.0476598,-16,0,-96.25
0.0188419,0,0,-96.25
0.0425652,8,0,-96.25
0.0652385,16,0,-96.25
0.0721295,24,0,-96.25
0.0679457,32,0,-96.25
0.0416049,-56,8,-96.25
0.0673609,-48,8,-96.25
0.0708462,-40,8,-96.25
0.0692024,-32,8,-96.25
