ScanName,DatePrepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Genotype,BatchType,Sex,Weight,Age
3966,2022-07-23-01:19:34.070080,13.4,0.17,0.136,39.99,19.15,30.86,CF,21,F,275,107
S66,2023-02-16-23:31:56.513764,15.7,0.12,0.987,46.89,23.52,30.41,WT,7,M,529,87
3706,2021-11-29-01:27:51.825960,16.5,0.19,0.127,50.38,18.28,40.3,KO,14,F,217,96
4294,2023-02-15-01:23:21.070468,14.8,0.16,0.875,45.4,20.35,30.89,CF,7,M,371,95
3987,2022-07-27-18:25:07.972788,18.2,0.17,0.129,53.78,21.2,40.58,KO,21,M,318,101
3979,2022-07-18-08:03:47.986910,17.3,0.15,0.134,53.57,21.74,37.56,WT,21,N/A,-1,-1
4325,2023-05-12-02:12:02.008062,15.4,0.162,1.2,46.38,20.72,35.3,WT,7,N/A,-1,-1
3978,2022-07-13-00:33:11.418201,15.4,0.1,0.096,49.42,19.36,39.58,CF,7,N/A,-1,-1
3700,2021-12-05-18:11:25.551793,17.6,0.16,0.12,53.08,20.58,43.46,KO,14,M,313,96
4304,2023-08-09-01:45:31.517546,17.8,0.205,1.014,54.06,17.87,44.33,CF,14,F,233,95
4266,2023-08-09-01:45:12.109727,22.1,0.125,1.267,64.91,23.28,44.6,WT,14,M,515,98
3550,2021-10-10-03:59:08.060981,16.5,0.14,0.12,48.07,20.09,36.23,KO,7,N/A,-1,-1
3511,2021-10-05-20:37:43.284350,12.8,0.18,0.117,43.17,17.67,33.52,WT,7,N/A,-1,-1
3952,2023-06-13-13:08:08.556431,9.7,0.125,1.103,36.86,13.21,28.39,,-1,N/A,-1,-1
4389,2023-02-27-21:57:39.030029,12.0,0.18,1.157,38.54,17.74,27.66,CF,7,F,224,77
S57,2023-07-05-20:37:36.067519,17.1,0.121,1.304,52.22,22.77,34.79,WT,7,M,447,87
