Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
-0.00844754,20,-36,-128.7
0.0110341,-12,-28,-128.7
0.0201553,-4,-28,-128.7
0.0124308,4,-28,-128.7
0.0183819,12,-28,-128.7
-0.00137833,20,-28,-128.7
0.00420436,-12,-20,-128.7
0.0172395,-4,-20,-128.7
0.013512,4,-20,-128.7
0.0089737,20,-20,-128.7
0.0120156,-4,-12,-128.7
0.0555513,-12,-52,-120.7
0.0194112,-20,-44,-120.7
0.0316303,-12,-44,-120.7
0.0195736,-20,-36,-120.7
0.0368108,-12,-36,-120.7
0.0275914,20,-36,-120.7
0.00243516,28,-36,-120.7
0.0204129,-20,-28,-120.7
0.0394034,-12,-28,-120.7
0.0507007,-4,-28,-120.7
0.0493739,4,-28,-120.7
0.053644,12,-28,-120.7
0.0341147,20,-28,-120.7
0.0130362,28,-28,-120.7
0.0149111,-20,-20,-120.7
0.0349451,-12,-20,-120.7
0.0451448,-4,-20,-120.7
0.0451007,4,-20,-120.7
0.0434652,12,-20,-120.7
0.0323933,20,-20,-120.7
0.0144291,28,-20,-120.7
0.0304979,-12,-12,-120.7
0.0416552,-4,-12,-120.7
0.0426501,4,-12,-120.7
0.0366741,20,-12,-120.7
0.0202762,28,-12,-120.7
0.0315773,-4,-76,-112.7
0.0559531,-12,-68,-112.7
0.0658364,-4,-68,-112.7
0.0617893,-12,-60,-112.7
0.0535827,-20,-52,-112.7
0.0648845,-12,-52,-112.7
0.0445487,-20,-44,-112.7
0.0612743,-12,-44,-112.7
0.0406501,-20,-36,-112.7
0.0588567,-12,-36,-112.7
0.0402589,28,-36,-112.7
0.00889085,36,-36,-112.7
0.0379069,-20,-28,-112.7
0.0557048,-12,-28,-112.7
0.0678735,-4,-28,-112.7
0.0631888,20,-28,-112.7
0.0423289,28,-28,-112.7
0.0259786,36,-28,-112.7
0.0324903,-20,-20,-112.7
0.0502076,-12,-20,-112.7
0.0604489,-4,-20,-112.7
0.0639474,4,-20,-112.7
0.0654979,12,-20,-112.7
0.0548974,20,-20,-112.7
0.0426058,28,-20,-112.7
0.0315735,36,-20,-112.7
0.0486939,-12,-12,-112.7
0.0577419,-4,-12,-112.7
0.0566151,4,-12,-112.7
0.0578365,12,-12,-112.7
0.049218,20,-12,-112.7
0.0425687,28,-12,-112.7
0.0353407,36,-12,-112.7
0.0520037,-4,-4,-112.7
0.05139,4,-4,-112.7
0.0513258,12,-4,-112.7
0.0426669,20,-4,-112.7
0.0370775,28,-4,-112.7
0.0486361,28,4,-112.7
0.00588246,4,-92,-104.7
0.00493382,12,-92,-104.7
0.0367181,-12,-84,-104.7
0.0364351,-4,-84,-104.7
0.0396129,4,-84,-104.7
0.0379657,12,-84,-104.7
0.0117186,20,-84,-104.7
0.0571665,-12,-76,-104.7
0.0548605,-4,-76,-104.7
0.0614017,4,-76,-104.7
0.0546248,12,-76,-104.7
0.0211962,20,-76,-104.7
0.0649446,-20,-68,-104.7
0.0695531,-12,-68,-104.7
0.0746744,-4,-68,-104.7
0.0834763,4,-68,-104.7
0.0766317,12,-68,-104.7
0.040293,20,-68,-104.7
0.0256654,28,-68,-104.7
0.0647971,-20,-60,-104.7
0.0715111,-12,-60,-104.7
0.0833635,-4,-60,-104.7
0.0881727,12,-60,-104.7
0.0558918,20,-60,-104.7
0.0634026,-20,-52,-104.7
0.0729744,-12,-52,-104.7
0.0895065,-4,-52,-104.7
0.0472703,28,-52,-104.7
0.0323564,-28,-44,-104.7
0.0576351,-20,-44,-104.7
0.0752562,-12,-44,-104.7
0.0977993,-4,-44,-104.7
0.0495709,28,-44,-104.7
0.0256755,36,-44,-104.7
0.01853,-28,-36,-104.7
0.052647,-20,-36,-104.7
0.0720185,-12,-36,-104.7
0.0660566,28,-36,-104.7
0.0393084,36,-36,-104.7
0.00986534,-28,-28,-104.7
0.0471304,-20,-28,-104.7
0.0654977,-12,-28,-104.7
0.0787491,-4,-28,-104.7
0.0887362,20,-28,-104.7
0.0640706,28,-28,-104.7
0.0459773,36,-28,-104.7
0.000890359,-28,-20,-104.7
0.0408962,-20,-20,-104.7
0.0581393,-12,-20,-104.7
0.0688488,-4,-20,-104.7
0.0764056,4,-20,-104.7
0.0790469,12,-20,-104.7
0.0713345,20,-20,-104.7
0.0587451,28,-20,-104.7
0.0490515,36,-20,-104.7
-0.00330572,-28,-12,-104.7
0.0384165,-20,-12,-104.7
0.0550825,-12,-12,-104.7
0.0650956,-4,-12,-104.7
0.066203,4,-12,-104.7
0.0683464,12,-12,-104.7
0.0628468,20,-12,-104.7
0.0549547,28,-12,-104.7
0.0474653,36,-12,-104.7
0.061802,-4,-4,-104.7
0.058502,4,-4,-104.7
0.0622303,12,-4,-104.7
0.0564664,20,-4,-104.7
0.0490018,28,-4,-104.7
0.0403751,36,-4,-104.7
0.0504705,4,4,-104.7
0.0600349,20,4,-104.7
0.0530376,28,4,-104.7
0.0628584,28,12,-104.7
0.0263263,-4,-100,-96.7
0.02287,4,-100,-96.7
0.0147887,12,-100,-96.7
0.00746044,20,-100,-96.7
0.0449576,-12,-92,-96.7
0.0449105,-4,-92,-96.7
0.0454818,4,-92,-96.7
0.0409487,12,-92,-96.7
0.033957,20,-92,-96.7
0.0642186,-20,-84,-96.7
0.0610136,-12,-84,-96.7
0.0578887,-4,-84,-96.7
0.0597391,4,-84,-96.7
0.0555043,12,-84,-96.7
0.0463884,20,-84,-96.7
0.0374662,28,-84,-96.7
0.0700889,-20,-76,-96.7
0.069685,-12,-76,-96.7
0.0679409,-4,-76,-96.7
0.0715195,4,-76,-96.7
0.0658296,12,-76,-96.7
0.0526697,20,-76,-96.7
0.0466048,28,-76,-96.7
0.0724654,-20,-68,-96.7
0.0733091,-12,-68,-96.7
0.0756376,-4,-68,-96.7
0.080983,4,-68,-96.7
0.0765406,12,-68,-96.7
0.0594213,20,-68,-96.7
0.0511303,28,-68,-96.7
0.0592867,-28,-60,-96.7
0.0714814,-20,-60,-96.7
0.0747666,-12,-60,-96.7
0.0819967,-4,-60,-96.7
0.0909295,4,-60,-96.7
0.0887946,12,-60,-96.7
