Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.147791,4,-84,-108.25
0.13483,4,-76,-108.25
0.139792,-12,-68,-108.25
0.150092,-4,-68,-108.25
0.132167,-12,-60,-108.25
0.128117,-4,-60,-108.25
0.109902,4,-60,-108.25
0.113881,-12,-52,-108.25
0.11559,-4,-52,-108.25
0.112083,4,-52,-108.25
0.101748,-4,-44,-108.25
0.139232,4,-92,-100.25
0.119545,-12,-84,-100.25
0.139099,-4,-84,-100.25
0.130637,4,-84,-100.25
0.0812526,12,-84,-100.25
0.0249648,-20,-76,-100.25
0.113684,-12,-76,-100.25
0.129423,-4,-76,-100.25
0.123307,4,-76,-100.25
0.0903263,12,-76,-100.25
0.063207,-20,-68,-100.25
0.122419,-12,-68,-100.25
0.133762,-4,-68,-100.25
0.132157,4,-68,-100.25
0.112397,12,-68,-100.25
0.110465,-20,-60,-100.25
0.128089,-12,-60,-100.25
0.127821,-4,-60,-100.25
0.124042,4,-60,-100.25
0.11237,12,-60,-100.25
0.099149,-20,-52,-100.25
0.114908,-12,-52,-100.25
0.116051,-4,-52,-100.25
0.123382,4,-52,-100.25
0.115849,12,-52,-100.25
0.0833094,20,-52,-100.25
0.0787633,-28,-44,-100.25
0.101498,-20,-44,-100.25
0.107357,-12,-44,-100.25
0.103451,-4,-44,-100.25
0.120753,4,-44,-100.25
0.10958,12,-44,-100.25
0.0930537,20,-44,-100.25
0.0685628,28,-44,-100.25
0.0839701,-28,-36,-100.25
0.0984746,-20,-36,-100.25
0.105384,-12,-36,-100.25
0.0957017,-4,-36,-100.25
0.0884019,20,-36,-100.25
0.0760872,28,-36,-100.25
0.0886419,-28,-28,-100.25
0.0955617,-20,-28,-100.25
0.0937202,-12,-28,-100.25
0.104896,-4,-28,-100.25
0.0963204,20,-28,-100.25
0.0825629,28,-28,-100.25
0.0985521,-28,-20,-100.25
0.0969078,-20,-20,-100.25
0.085518,-12,-20,-100.25
0.0866588,28,-20,-100.25
0.106492,-28,-12,-100.25
0.10019,-20,-12,-100.25
0.0871765,-12,-12,-100.25
0.0909495,28,-12,-100.25
0.10006,-36,-4,-100.25
0.112729,-28,-4,-100.25
0.11265,-20,-4,-100.25
0.101003,-12,-4,-100.25
0.100078,-28,4,-100.25
0.103535,-20,4,-100.25
0.0933216,-12,4,-100.25
0.140866,4,-100,-92.25
0.101518,-12,-92,-92.25
0.145427,-4,-92,-92.25
0.153571,4,-92,-92.25
0.11298,12,-92,-92.25
-0.0387398,-20,-84,-92.25
0.104461,-12,-84,-92.25
0.136423,-4,-84,-92.25
0.139953,4,-84,-92.25
0.103247,12,-84,-92.25
0.00902562,-20,-76,-92.25
0.10198,-12,-76,-92.25
0.129567,-4,-76,-92.25
0.132175,4,-76,-92.25
0.107071,12,-76,-92.25
0.0487146,-20,-68,-92.25
0.104471,-12,-68,-92.25
0.128396,-4,-68,-92.25
0.128306,4,-68,-92.25
0.109398,12,-68,-92.25
0.0676229,20,-68,-92.25
0.0274765,-28,-60,-92.25
0.0934339,-20,-60,-92.25
0.115436,-12,-60,-92.25
0.125067,-4,-60,-92.25
0.121572,4,-60,-92.25
0.108287,12,-60,-92.25
0.0753678,20,-60,-92.25
0.0638341,-28,-52,-92.25
0.099851,-20,-52,-92.25
0.110849,-12,-52,-92.25
0.114072,-4,-52,-92.25
0.119662,4,-52,-92.25
0.110975,12,-52,-92.25
0.0977257,20,-52,-92.25
0.0537345,28,-52,-92.25
0.0378191,-36,-44,-92.25
0.0888228,-28,-44,-92.25
0.108591,-20,-44,-92.25
0.107624,-12,-44,-92.25
0.103108,-4,-44,-92.25
0.116203,4,-44,-92.25
0.108763,12,-44,-92.25
0.107488,20,-44,-92.25
0.0825207,28,-44,-92.25
0.0450315,-36,-36,-92.25
0.0849344,-28,-36,-92.25
0.10256,-20,-36,-92.25
0.101897,-12,-36,-92.25
0.0898887,-4,-36,-92.25
0.100347,20,-36,-92.25
0.0881531,28,-36,-92.25
0.0664762,-36,-28,-92.25
0.0918093,-28,-28,-92.25
0.102115,-20,-28,-92.25
0.0932241,-12,-28,-92.25
0.0911925,-4,-28,-92.25
0.10351,20,-28,-92.25
0.0928303,28,-28,-92.25
0.0836834,-36,-20,-92.25
0.0963926,-28,-20,-92.25
0.094721,-20,-20,-92.25
0.0781576,-12,-20,-92.25
0.10468,28,-20,-92.25
0.0740639,36,-20,-92.25
0.101889,-36,-12,-92.25
0.105694,-28,-12,-92.25
0.0921499,-20,-12,-92.25
0.0717294,-12,-12,-92.25
0.114308,28,-12,-92.25
0.0870772,36,-12,-92.25
0.110827,-36,-4,-92.25
0.108748,-28,-4,-92.25
0.0954015,-20,-4,-92.25
0.0812675,-12,-4,-92.25
0.0848309,28,-4,-92.25
0.0933273,36,-4,-92.25
0.106995,-36,4,-92.25
0.104628,-28,4,-92.25
0.095119,-20,4,-92.25
0.0929409,-12,4,-92.25
0.0987477,-4,4,-92.25
0.070477,28,4,-92.25
0.0903439,36,4,-92.25
0.105044,-36,12,-92.25
0.0999275,-28,12,-92.25
0.0929893,-20,12,-92.25
0.0988981,-12,12,-92.25
0.110367,-4,12,-92.25
0.0816857,4,12,-92.25
0.0612929,12,12,-92.25
0.0740389,28,12,-92.25
0.094482,36,12,-92.25
0.108486,-36,20,-92.25
0.106134,-28,20,-92.25
0.0983524,-20,20,-92.25
0.101818,-12,20,-92.25
0.0924457,-4,20,-92.25
0.0809798,4,20,-92.25
0.063314,28,20,-92.25
0.107769,-36,28,-92.25
0.105973,-28,28,-92.25
0.0947387,-20,28,-92.25
0.110863,-28,36,-92.25
0.109854,-20,36,-92.25
0.116077,-28,44,-92.25
0.0,-28,52,-92.25
0.109588,-12,-100,-84.25
0.142824,-4,-100,-84.25
0.14617,4,-100,-84.25
-0.00881287,-20,-92,-84.25
0.100692,-12,-92,-84.25
0.137475,-4,-92,-84.25
0.147,4,-92,-84.25
0.117956,12,-92,-84.25
-0.0028825,-20,-84,-84.25
0.0964277,-12,-84,-84.25
0.131653,-4,-84,-84.25
0.139022,4,-84,-84.25
0.116056,12,-84,-84.25
0.0158261,-20,-76,-84.25
0.0962484,-12,-76,-84.25
0.12675,-4,-76,-84.25
0.132776,4,-76,-84.25
0.118986,12,-76,-84.25
0.0843707,20,-76,-84.25
-0.078075,-28,-68,-84.25
0.0408288,-20,-68,-84.25
0.0984614,-12,-68,-84.25
0.12364,-4,-68,-84.25
0.12555,4,-68,-84.25
0.112883,12,-68,-84.25
0.0860852,20,-68,-84.25
-0.00115561,-28,-60,-84.25
0.0722279,-20,-60,-84.25
0.106093,-12,-60,-84.25
0.119798,-4,-60,-84.25
0.120045,4,-60,-84.25
0.111678,12,-60,-84.25
0.093225,20,-60,-84.25
0.0481589,-28,-52,-84.25
0.0879941,-20,-52,-84.25
0.104608,-12,-52,-84.25
0.11505,-4,-52,-84.25
0.119309,4,-52,-84.25
0.113986,12,-52,-84.25
0.114721,20,-52,-84.25
0.0994938,28,-52,-84.25
0.038038,-36,-44,-84.25
0.0860529,-28,-44,-84.25
0.103236,-20,-44,-84.25
0.10382,-12,-44,-84.25
0.108009,-4,-44,-84.25
