Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0918704,-36,-12,-88.25
-0.0181337,-28,12,-88.25
0.0345179,-12,-68,-80.25
0.0486841,-28,-60,-80.25
0.0505465,-20,-60,-80.25
0.0554054,-12,-60,-80.25
0.0410225,-4,-60,-80.25
0.0896511,-28,-52,-80.25
0.0642638,-20,-52,-80.25
0.0539832,-12,-52,-80.25
0.053566,-4,-52,-80.25
0.0785301,-36,-44,-80.25
0.0781145,-28,-44,-80.25
0.0779529,-20,-44,-80.25
0.0541501,-12,-44,-80.25
0.0812365,-36,-36,-80.25
0.0796729,-28,-36,-80.25
0.0901595,-20,-36,-80.25
0.0586124,-36,-28,-80.25
0.0781397,-28,-28,-80.25
0.0707924,-36,-20,-80.25
0.0828831,-28,-20,-80.25
0.0,12,-20,-80.25
0.0651176,-44,-12,-80.25
0.0577481,-36,-12,-80.25
0.0584967,12,-12,-80.25
0.0663533,-44,-4,-80.25
0.0420247,-36,-4,-80.25
0.0505472,12,-4,-80.25
0.0667843,-44,4,-80.25
0.0474385,-36,4,-80.25
0.0634123,-36,12,-80.25
0.0393178,-28,12,-80.25
0.0126915,-20,-76,-72.25
0.022161,-12,-76,-72.25
0.00771521,-4,-76,-72.25
0.00240557,-28,-68,-72.25
0.0485623,-20,-68,-72.25
0.0491863,-12,-68,-72.25
0.0374486,-4,-68,-72.25
0.0358441,-36,-60,-72.25
0.0506375,-28,-60,-72.25
0.0598404,-20,-60,-72.25
0.056747,-12,-60,-72.25
0.0396099,-4,-60,-72.25
0.0159902,4,-60,-72.25
0.0759252,-36,-52,-72.25
0.0771513,-28,-52,-72.25
0.0657512,-20,-52,-72.25
0.0501,-12,-52,-72.25
0.0318251,-4,-52,-72.25
0.0218244,4,-52,-72.25
0.0779568,-36,-44,-72.25
0.0782594,-28,-44,-72.25
0.0730235,-20,-44,-72.25
0.0486395,-12,-44,-72.25
0.00342469,-4,-44,-72.25
0.054618,-44,-36,-72.25
0.0790653,-36,-36,-72.25
0.0841417,-28,-36,-72.25
0.083486,-20,-36,-72.25
0.0606979,-44,-28,-72.25
0.0787525,-36,-28,-72.25
0.0881955,-28,-28,-72.25
0.00590445,12,-28,-72.25
0.0816711,-44,-20,-72.25
0.084784,-36,-20,-72.25
0.0866599,-28,-20,-72.25
0.026429,12,-20,-72.25
0.0638551,20,-20,-72.25
0.0928221,-44,-12,-72.25
0.0824035,-36,-12,-72.25
0.0675052,-28,-12,-72.25
0.051316,12,-12,-72.25
0.0463122,20,-12,-72.25
0.0988461,-44,-4,-72.25
0.0777558,-36,-4,-72.25
0.0496966,-28,-4,-72.25
0.0338744,12,-4,-72.25
0.0588112,20,-4,-72.25
0.102305,-44,4,-72.25
0.0903265,-36,4,-72.25
0.0703689,-28,4,-72.25
0.0119114,12,4,-72.25
0.0532066,20,4,-72.25
0.127157,-44,12,-72.25
0.10396,-36,12,-72.25
0.0807618,-28,12,-72.25
0.007921,12,12,-72.25
0.0462815,20,12,-72.25
0.129311,-44,20,-72.25
0.106812,-36,20,-72.25
0.0543735,12,20,-72.25
0.0998622,-44,28,-72.25
-0.0730868,-28,-84,-64.25
-0.0342571,-20,-84,-64.25
-0.00947406,-12,-84,-64.25
-0.00330817,-4,-84,-64.25
-0.0181275,-28,-76,-64.25
0.00704373,-20,-76,-64.25
0.0225217,-12,-76,-64.25
0.0205475,-4,-76,-64.25
0.00158678,4,-76,-64.25
-0.0112105,-36,-68,-64.25
0.0185938,-28,-68,-64.25
0.0389174,-20,-68,-64.25
0.0423202,-12,-68,-64.25
0.0322769,-4,-68,-64.25
0.00651987,4,-68,-64.25
-0.0303843,12,-68,-64.25
0.055079,-36,-60,-64.25
0.0658462,-28,-60,-64.25
0.0623622,-20,-60,-64.25
0.0511938,-12,-60,-64.25
0.0359096,-4,-60,-64.25
0.0181683,4,-60,-64.25
-0.0192689,12,-60,-64.25
0.0617107,-44,-52,-64.25
0.0961016,-36,-52,-64.25
0.0884592,-28,-52,-64.25
0.0672209,-20,-52,-64.25
0.0444655,-12,-52,-64.25
0.0292707,-4,-52,-64.25
0.02994,4,-52,-64.25
0.0697183,-44,-44,-64.25
0.0943183,-36,-44,-64.25
0.0867316,-28,-44,-64.25
0.0675626,-20,-44,-64.25
0.0472068,-12,-44,-64.25
0.0097432,-4,-44,-64.25
0.0061572,4,-44,-64.25
0.0655632,-44,-36,-64.25
0.0896776,-36,-36,-64.25
0.0865553,-28,-36,-64.25
0.0716523,-20,-36,-64.25
0.0576431,-12,-36,-64.25
0.0763134,-44,-28,-64.25
0.091507,-36,-28,-64.25
0.0894837,-28,-28,-64.25
0.0231894,12,-28,-64.25
0.00194188,20,-28,-64.25
0.0921132,-44,-20,-64.25
0.0944723,-36,-20,-64.25
0.0918445,-28,-20,-64.25
0.037122,12,-20,-64.25
0.0331006,20,-20,-64.25
0.101348,-44,-12,-64.25
0.0956713,-36,-12,-64.25
0.0811446,-28,-12,-64.25
0.0604542,12,-12,-64.25
0.0466783,20,-12,-64.25
0.113529,-44,-4,-64.25
0.104061,-36,-4,-64.25
0.0892767,-28,-4,-64.25
0.0452564,12,-4,-64.25
0.0637736,20,-4,-64.25
0.101737,-44,4,-64.25
0.123858,-36,4,-64.25
0.119485,-28,4,-64.25
0.0401378,12,4,-64.25
0.0672524,20,4,-64.25
0.104401,-44,12,-64.25
0.13587,-36,12,-64.25
0.128347,-28,12,-64.25
0.0394033,12,12,-64.25
0.0764004,20,12,-64.25
0.0874866,-44,20,-64.25
0.141438,-36,20,-64.25
0.0440944,4,20,-64.25
0.0629665,12,20,-64.25
0.0868771,20,20,-64.25
0.0998006,-44,28,-64.25
0.0739557,4,28,-64.25
0.078072,12,28,-64.25
0.0898416,20,28,-64.25
-0.0584173,-28,-92,-56.25
-0.0296292,-20,-92,-56.25
0.0125975,-12,-92,-56.25
0.0152353,-4,-92,-56.25
-0.0417042,-36,-84,-56.25
-0.0168315,-28,-84,-56.25
0.00161248,-20,-84,-56.25
0.0213441,-12,-84,-56.25
0.0153004,-4,-84,-56.25
-0.00990319,4,-84,-56.25
-0.0140702,-36,-76,-56.25
0.0102621,-28,-76,-56.25
0.0205557,-20,-76,-56.25
0.0273132,-12,-76,-56.25
0.0223963,-4,-76,-56.25
0.000118383,4,-76,-56.25
-0.0679985,12,-76,-56.25
0.0230373,-36,-68,-56.25
0.0391165,-28,-68,-56.25
0.0393616,-20,-68,-56.25
0.0351666,-12,-68,-56.25
0.0249356,-4,-68,-56.25
0.00412352,4,-68,-56.25
-0.0330781,12,-68,-56.25
0.0494963,-44,-60,-56.25
0.0715235,-36,-60,-56.25
0.0716452,-28,-60,-56.25
0.0547345,-20,-60,-56.25
0.0387218,-12,-60,-56.25
0.0315927,-4,-60,-56.25
0.0197163,4,-60,-56.25
-0.01091,12,-60,-56.25
0.0829466,-44,-52,-56.25
0.0978008,-36,-52,-56.25
0.0885302,-28,-52,-56.25
0.0580781,-20,-52,-56.25
0.031726,-12,-52,-56.25
0.03609,-4,-52,-56.25
0.0339677,4,-52,-56.25
0.00977917,12,-52,-56.25
0.0838265,-44,-44,-56.25
0.0929161,-36,-44,-56.25
0.0844923,-28,-44,-56.25
0.0561464,-20,-44,-56.25
0.0325678,-12,-44,-56.25
0.0302594,-4,-44,-56.25
0.0119269,4,-44,-56.25
0.0165503,12,-44,-56.25
0.0787536,-44,-36,-56.25
0.0890155,-36,-36,-56.25
0.085923,-28,-36,-56.25
0.0568172,-20,-36,-56.25
0.0439024,-12,-36,-56.25
-0.0253631,4,-36,-56.25
-0.0207391,12,-36,-56.25
0.0946929,-44,-28,-56.25
0.0964898,-36,-28,-56.25
