Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0689145,4,-76,-108.25
0.0595477,-4,-68,-108.25
0.0589683,-12,-60,-108.25
0.064069,-4,-60,-108.25
0.0687834,4,-60,-108.25
0.0542032,-12,-52,-108.25
0.0614661,-4,-52,-108.25
0.0684936,4,-52,-108.25
0.0564168,4,-92,-100.25
0.0573146,-12,-84,-100.25
0.0710726,-4,-84,-100.25
0.0731449,4,-84,-100.25
0.0621284,12,-84,-100.25
0.0434155,-20,-76,-100.25
0.0638526,-12,-76,-100.25
0.0726063,-4,-76,-100.25
0.0728052,4,-76,-100.25
0.0622469,12,-76,-100.25
0.030852,-28,-68,-100.25
0.0574041,-20,-68,-100.25
0.0701466,-12,-68,-100.25
0.0739526,-4,-68,-100.25
0.0752621,4,-68,-100.25
0.0690699,12,-68,-100.25
0.0454906,-28,-60,-100.25
0.063862,-20,-60,-100.25
0.070878,-12,-60,-100.25
0.0739847,-4,-60,-100.25
0.0779636,4,-60,-100.25
0.0697107,12,-60,-100.25
0.0526203,20,-60,-100.25
0.0504705,-28,-52,-100.25
0.065504,-20,-52,-100.25
0.0669032,-12,-52,-100.25
0.0697196,-4,-52,-100.25
0.0769247,4,-52,-100.25
0.067301,12,-52,-100.25
0.0631668,20,-52,-100.25
0.0261321,28,-52,-100.25
0.0561099,-28,-44,-100.25
0.0656427,-20,-44,-100.25
0.0636914,-12,-44,-100.25
0.0606983,-4,-44,-100.25
0.0678283,4,-44,-100.25
0.0607301,12,-44,-100.25
0.0746482,20,-44,-100.25
0.0501059,28,-44,-100.25
0.0696035,-28,-36,-100.25
0.0766376,-20,-36,-100.25
0.0667921,-12,-36,-100.25
0.0527792,-4,-36,-100.25
0.0758595,20,-36,-100.25
0.0570416,28,-36,-100.25
0.0714828,-28,-28,-100.25
0.0767561,-20,-28,-100.25
0.065119,-12,-28,-100.25
0.0591397,-4,-28,-100.25
0.0510244,20,-28,-100.25
0.0576198,28,-28,-100.25
0.0726756,-28,-20,-100.25
0.065808,-20,-20,-100.25
0.0498886,-12,-20,-100.25
0.0600805,28,-20,-100.25
0.0677648,-28,-12,-100.25
0.0608119,-20,-12,-100.25
0.0513901,-12,-12,-100.25
0.083109,28,-12,-100.25
0.067459,-36,-4,-100.25
0.059819,-28,-4,-100.25
0.0538688,-20,-4,-100.25
0.0498772,-12,-4,-100.25
0.0554659,-36,4,-100.25
0.0507386,-28,4,-100.25
0.0490549,-20,4,-100.25
0.048204,-12,4,-100.25
0.0547825,-28,12,-100.25
0.0547283,-20,12,-100.25
0.0607637,4,-100,-92.25
0.0639015,-12,-92,-92.25
0.0711306,-4,-92,-92.25
0.06384,4,-92,-92.25
0.0460627,12,-92,-92.25
0.051099,-20,-84,-92.25
0.0666695,-12,-84,-92.25
0.0745867,-4,-84,-92.25
0.0734606,4,-84,-92.25
0.0603234,12,-84,-92.25
0.0276728,-28,-76,-92.25
0.0579029,-20,-76,-92.25
0.0692923,-12,-76,-92.25
0.0755542,-4,-76,-92.25
0.0754597,4,-76,-92.25
0.0672299,12,-76,-92.25
0.044232,20,-76,-92.25
0.0419363,-28,-68,-92.25
0.0614553,-20,-68,-92.25
0.0716207,-12,-68,-92.25
0.0768711,-4,-68,-92.25
0.0785809,4,-68,-92.25
0.0729272,12,-68,-92.25
0.0543395,20,-68,-92.25
0.0544108,-28,-60,-92.25
0.0672795,-20,-60,-92.25
0.072391,-12,-60,-92.25
0.0754551,-4,-60,-92.25
0.0798058,4,-60,-92.25
0.0741193,12,-60,-92.25
0.0619601,20,-60,-92.25
0.0257674,28,-60,-92.25
0.0398101,-36,-52,-92.25
0.0647513,-28,-52,-92.25
0.0730945,-20,-52,-92.25
0.0739728,-12,-52,-92.25
0.0741468,-4,-52,-92.25
0.0795251,4,-52,-92.25
0.0745662,12,-52,-92.25
0.0734268,20,-52,-92.25
0.054211,28,-52,-92.25
0.0594639,-36,-44,-92.25
0.0759387,-28,-44,-92.25
0.0780741,-20,-44,-92.25
0.0744558,-12,-44,-92.25
0.0686986,-4,-44,-92.25
0.073469,4,-44,-92.25
0.0730615,12,-44,-92.25
0.0777111,20,-44,-92.25
0.0632232,28,-44,-92.25
0.0679886,-36,-36,-92.25
0.0772121,-28,-36,-92.25
0.0764762,-20,-36,-92.25
0.0680427,-12,-36,-92.25
0.0572645,-4,-36,-92.25
0.0780918,20,-36,-92.25
0.0757415,28,-36,-92.25
0.0753677,-36,-28,-92.25
0.0752584,-28,-28,-92.25
0.0660846,-20,-28,-92.25
0.0505535,-12,-28,-92.25
0.0488344,-4,-28,-92.25
0.0718096,20,-28,-92.25
0.0778288,28,-28,-92.25
0.0753169,36,-28,-92.25
0.0735372,-36,-20,-92.25
0.069291,-28,-20,-92.25
0.0543156,-20,-20,-92.25
0.032005,-12,-20,-92.25
0.0836927,28,-20,-92.25
0.0563978,36,-20,-92.25
0.0717807,-36,-12,-92.25
0.0663669,-28,-12,-92.25
0.0500781,-20,-12,-92.25
0.0374663,-12,-12,-92.25
0.0841385,28,-12,-92.25
0.0584472,36,-12,-92.25
0.0671155,-36,-4,-92.25
0.0637189,-28,-4,-92.25
0.05052,-20,-4,-92.25
0.0428926,-12,-4,-92.25
0.0544762,28,-4,-92.25
0.0627139,36,-4,-92.25
0.0555542,-36,4,-92.25
0.060592,-28,4,-92.25
0.0535127,-20,4,-92.25
0.049105,-12,4,-92.25
0.0369798,-4,4,-92.25
0.0228109,4,4,-92.25
0.0539586,28,4,-92.25
0.0674035,36,4,-92.25
0.0599342,-36,12,-92.25
0.0647663,-28,12,-92.25
0.0615267,-20,12,-92.25
0.0585938,-12,12,-92.25
0.0530801,-4,12,-92.25
0.0455001,4,12,-92.25
0.0380795,12,12,-92.25
0.0300624,28,12,-92.25
0.0508282,36,12,-92.25
0.0571667,-36,20,-92.25
0.0603685,-28,20,-92.25
0.0619014,-20,20,-92.25
0.0624029,-12,20,-92.25
0.0596142,-4,20,-92.25
0.0644324,4,20,-92.25
0.0298439,28,20,-92.25
0.050828,-36,28,-92.25
0.0547117,-28,28,-92.25
0.059065,-20,28,-92.25
0.0687017,-28,36,-92.25
0.0653412,-20,36,-92.25
0.0640914,-28,44,-92.25
0.0,-28,52,-92.25
0.0638378,-12,-100,-84.25
0.0713343,-4,-100,-84.25
0.0656614,4,-100,-84.25
0.0422015,-20,-92,-84.25
0.0685288,-12,-92,-84.25
0.0726278,-4,-92,-84.25
0.0696488,4,-92,-84.25
0.0508743,12,-92,-84.25
0.0550735,-20,-84,-84.25
0.0713992,-12,-84,-84.25
0.0748138,-4,-84,-84.25
0.074251,4,-84,-84.25
0.0622774,12,-84,-84.25
0.0375126,20,-84,-84.25
0.0338698,-28,-76,-84.25
0.0640886,-20,-76,-84.25
0.0731495,-12,-76,-84.25
0.0765834,-4,-76,-84.25
0.0755332,4,-76,-84.25
0.0683384,12,-76,-84.25
0.0476726,20,-76,-84.25
0.0471413,-28,-68,-84.25
0.0668395,-20,-68,-84.25
0.0733302,-12,-68,-84.25
0.0765341,-4,-68,-84.25
0.0767881,4,-68,-84.25
0.0715387,12,-68,-84.25
0.0559125,20,-68,-84.25
0.0253832,-36,-60,-84.25
0.0575587,-28,-60,-84.25
0.0706672,-20,-60,-84.25
0.0730776,-12,-60,-84.25
0.0745452,-4,-60,-84.25
0.0774776,4,-60,-84.25
0.0756197,12,-60,-84.25
0.069468,20,-60,-84.25
0.0422157,28,-60,-84.25
0.0427649,-36,-52,-84.25
0.06963,-28,-52,-84.25
0.0777815,-20,-52,-84.25
0.0751831,-12,-52,-84.25
0.0740971,-4,-52,-84.25
0.080316,4,-52,-84.25
0.0828562,12,-52,-84.25
0.0814582,20,-52,-84.25
0.0667278,28,-52,-84.25
0.0612321,-36,-44,-84.25
0.0785141,-28,-44,-84.25
0.0810579,-20,-44,-84.25
0.0731481,-12,-44,-84.25
0.0673767,-4,-44,-84.25
0.0773436,4,-44,-84.25
0.0861753,12,-44,-84.25
0.0879022,20,-44,-84.25
0.0745388,28,-44,-84.25
0.0772235,-36,-36,-84.25
0.0795926,-28,-36,-84.25
0.0716972,-20,-36,-84.25
0.0556027,-12,-36,-84.25
0.0461632,-4,-36,-84.25
0.0921992,20,-36,-84.25
0.0849356,28,-36,-84.25
0.0671624,36,-36,-84.25
0.0817283,-36,-28,-84.25
0.0753204,-28,-28,-84.25
0.0531872,-20,-28,-84.25
0.0255331,-12,-28,-84.25
0.0966946,20,-28,-84.25
0.0892134,28,-28,-84.25
0.0739779,36,-28,-84.25
0.074619,-36,-20,-84.25
0.0669563,-28,-20,-84.25
0.0373536,-20,-20,-84.25
