Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.101108,-16,-8,-92.5
0.114375,-16,0,-92.5
0.127439,-16,16,-92.5
0.10131,-8,16,-92.5
0.103777,0,16,-92.5
0.0890206,8,16,-92.5
0.0,8,24,-92.5
0.0850762,0,-48,-84.5
0.0330803,8,-48,-84.5
0.0534706,-16,-40,-84.5
0.0815812,-8,-40,-84.5
0.084317,0,-40,-84.5
0.0425231,8,-40,-84.5
0.0782899,-16,-32,-84.5
0.0910425,-8,-32,-84.5
0.0745592,0,-32,-84.5
0.0271287,8,-32,-84.5
0.0880302,-16,-24,-84.5
0.0872201,-8,-24,-84.5
0.0937229,-24,-16,-84.5
0.0944847,-16,-16,-84.5
0.0834813,-8,-16,-84.5
0.103619,-24,-8,-84.5
0.107274,-16,-8,-84.5
0.10468,-8,-8,-84.5
0.110504,-24,0,-84.5
0.121692,-16,0,-84.5
0.111391,-8,0,-84.5
0.107948,-24,8,-84.5
0.119007,-16,8,-84.5
0.106332,-8,8,-84.5
0.106589,-24,16,-84.5
0.119174,-16,16,-84.5
0.1092,-8,16,-84.5
0.0987027,0,16,-84.5
0.0427504,8,16,-84.5
0.104452,-24,24,-84.5
0.118172,-16,24,-84.5
0.0957734,0,24,-84.5
0.0560539,8,24,-84.5
0.0948682,-8,-72,-76.5
0.0849759,0,-72,-76.5
0.0296691,8,-72,-76.5
0.0846103,-8,-64,-76.5
0.0926947,0,-64,-76.5
0.0521748,8,-64,-76.5
0.0562294,-16,-56,-76.5
0.0818981,-8,-56,-76.5
0.0940896,0,-56,-76.5
0.052964,8,-56,-76.5
0.0226364,-24,-48,-76.5
0.0679663,-16,-48,-76.5
0.0839176,-8,-48,-76.5
0.0863122,0,-48,-76.5
0.0467711,8,-48,-76.5
-0.0384887,16,-48,-76.5
0.0426038,-24,-40,-76.5
0.0763022,-16,-40,-76.5
0.0908768,-8,-40,-76.5
0.0795146,0,-40,-76.5
0.0394273,8,-40,-76.5
-0.0369281,16,-40,-76.5
0.0615769,-24,-32,-76.5
0.0886633,-16,-32,-76.5
0.0941743,-8,-32,-76.5
0.0721879,0,-32,-76.5
0.0285113,8,-32,-76.5
-0.0360742,16,-32,-76.5
0.0941417,-24,-24,-76.5
0.101378,-16,-24,-76.5
0.0951889,-8,-24,-76.5
0.106064,-24,-16,-76.5
0.108787,-16,-16,-76.5
0.0960774,-8,-16,-76.5
0.115749,-24,-8,-76.5
0.117382,-16,-8,-76.5
0.105936,-8,-8,-76.5
0.116375,-24,0,-76.5
0.123421,-16,0,-76.5
0.116582,-8,0,-76.5
0.116903,-24,8,-76.5
0.123822,-16,8,-76.5
0.111961,-8,8,-76.5
0.114481,-24,16,-76.5
0.124139,-16,16,-76.5
0.113404,-8,16,-76.5
0.0953319,0,16,-76.5
0.0680116,8,16,-76.5
0.110046,-24,24,-76.5
0.123316,-16,24,-76.5
0.114923,-8,24,-76.5
0.0972862,0,24,-76.5
0.0777527,8,24,-76.5
0.109495,-24,32,-76.5
0.126541,-16,32,-76.5
0.11359,-24,40,-76.5
0.0505278,-8,-80,-68.5
0.0515892,0,-80,-68.5
0.0295057,8,-80,-68.5
0.0424287,-16,-72,-68.5
0.0791154,-8,-72,-68.5
0.0779041,0,-72,-68.5
0.0512931,8,-72,-68.5
-0.0340864,-24,-64,-68.5
0.049793,-16,-64,-68.5
0.080261,-8,-64,-68.5
0.0891014,0,-64,-68.5
0.0663116,8,-64,-68.5
0.0316227,16,-64,-68.5
0.000271812,-24,-56,-68.5
0.0605573,-16,-56,-68.5
0.0829096,-8,-56,-68.5
0.0878507,0,-56,-68.5
0.0584342,8,-56,-68.5
0.0089831,16,-56,-68.5
0.0317072,-24,-48,-68.5
0.0719748,-16,-48,-68.5
0.0850828,-8,-48,-68.5
0.0827281,0,-48,-68.5
0.051607,8,-48,-68.5
-0.00502933,16,-48,-68.5
0.0124568,-32,-40,-68.5
0.0625937,-24,-40,-68.5
0.086062,-16,-40,-68.5
0.094236,-8,-40,-68.5
0.0793543,0,-40,-68.5
0.0484631,8,-40,-68.5
-0.00430764,16,-40,-68.5
-0.0738196,24,-40,-68.5
0.0492147,-32,-32,-68.5
0.0853733,-24,-32,-68.5
0.0971675,-16,-32,-68.5
0.0965249,-8,-32,-68.5
0.0713092,0,-32,-68.5
0.0415101,8,-32,-68.5
-0.00488487,16,-32,-68.5
-0.0986797,24,-32,-68.5
0.0929472,-32,-24,-68.5
0.108963,-24,-24,-68.5
0.105572,-16,-24,-68.5
0.0919673,-8,-24,-68.5
-0.0298225,16,-24,-68.5
-0.141422,24,-24,-68.5
0.112365,-32,-16,-68.5
0.121583,-24,-16,-68.5
0.113486,-16,-16,-68.5
0.0932076,-8,-16,-68.5
0.0,32,-16,-68.5
0.120498,-32,-8,-68.5
0.129506,-24,-8,-68.5
0.119556,-16,-8,-68.5
0.0886553,-8,-8,-68.5
0.0,32,-8,-68.5
0.115061,-32,0,-68.5
0.128375,-24,0,-68.5
0.123601,-16,0,-68.5
0.11463,-8,0,-68.5
0.0,32,0,-68.5
0.109168,-32,8,-68.5
0.124284,-24,8,-68.5
0.126671,-16,8,-68.5
0.117537,-8,8,-68.5
0.114529,32,8,-68.5
0.108409,-32,16,-68.5
0.122252,-24,16,-68.5
0.128421,-16,16,-68.5
0.120183,-8,16,-68.5
0.110602,0,16,-68.5
-0.000333257,24,16,-68.5
0.106083,32,16,-68.5
0.103056,-32,24,-68.5
0.121763,-24,24,-68.5
0.131676,-16,24,-68.5
0.1234,-8,24,-68.5
0.10919,0,24,-68.5
