ScanName,DatePrepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),State
RAT3108Beads_FPS15625_TP10_I3E7,2021-01-08-22:50:33.767561,15.8,0.12,0.09,51.85,17.25,41.41,Post beads
RAT3111beads,2021-02-17-20:35:40.303752,19.1,0.14,0.098,53.6,21.62,42.73,Post beads
BeadsDeadNormalRAT3362,2021-06-03-09:23:28.561091,33.8,0.14,0.412,90.16,13.48,85.24,Post beads
S14_WT_BEADS,2023-06-13-10:46:11.107890,25.8,0.147,1.063,78.32,25.14,53.46,Post beads
CF508RAT3246beads,2021-03-17-16:41:51.608835,39.9,0.16,0.1,111.11,27.33,103.84,Post beads
RAT3181beads,2021-02-17-20:54:02.004769,28.8,0.15,0.102,82.59,29.06,57.67,Post beads
S6_BEADS,2023-05-15-04:04:56.051701,23.5,0.196,1.131,66.97,22.31,50.39,Post beads
RAT3180beads,2021-01-07-21:18:29.472491,38.7,0.15,0.113,124.66,26.81,112.98,Post beads
S8_KO_BEADS,2023-07-05-20:28:45.133168,24.2,0.188,1.096,72.26,21.46,53.65,Post beads
CF508RAT3240beads,2021-03-16-21:53:05.963019,33.7,0.14,0.073,97.28,27.45,80.8,Post beads
RAT3109Z10beads,2021-02-17-03:34:42.201085,20.0,0.14,0.133,59.21,19.76,47.77,Post beads
3542-WT-POST,2021-08-31-21:57:59.395790,24.9,0.18,0.089,73.05,20.04,58.7,Post beads
S17_508_BEADS,2023-06-13-10:42:55.478835,31.1,0.186,0.958,98.96,24.81,80.42,Post beads
3906beads,2022-03-26-00:29:12.059802,28.2,0.12,0.126,87.51,25.64,67.82,Post beads
BeadsCF508RAT3378,2021-07-20-20:47:39.809198,26.6,0.15,0.1,80.13,21.94,57.45,Post beads
3535-WT-POST,2021-08-31-22:01:39.702515,15.0,0.14,0.121,48.97,17.75,38.08,Post beads
4570_KO_BEADS,2023-06-29-05:34:33.830322,23.9,0.201,1.098,71.28,20.64,53.29,Post beads
S15_508_BEADS,2023-06-13-10:46:43.413465,19.5,0.16,1.112,55.36,20.67,37.91,Post beads
3754_beads,2022-01-08-16:37:17.308743,27.8,0.19,0.132,76.13,25.33,58.69,Post beads
3774_beads,2021-12-11-06:53:37.912214,25.7,0.14,0.137,72.94,27.13,49.1,Post beads
3761_beads,2021-12-15-21:05:55.196338,21.5,0.16,0.147,58.4,21.47,44.47,Post beads
S187_WT_BEADS,2023-07-05-20:42:18.424395,44.6,0.138,1.005,125.16,33.09,108.61,Post beads
CF508RAT3245beads,2021-03-17-19:17:59.850366,42.8,0.15,0.08,117.04,28.81,103.11,Post beads
CF510RAT3213beads,2021-02-19-17:17:35.930202,38.8,0.17,0.097,130.22,24.6,126.08,Post beads
