Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0398755,-16,-16,-92.5
0.0313574,-16,-8,-92.5
0.0849984,-16,0,-92.5
0.180259,-16,16,-92.5
0.138463,-8,16,-92.5
0.0393136,0,-48,-84.5
0.0376568,8,-48,-84.5
0.0473555,-16,-40,-84.5
0.0467762,-8,-40,-84.5
0.0502702,0,-40,-84.5
0.0439024,8,-40,-84.5
0.0668006,-16,-32,-84.5
0.0630177,-8,-32,-84.5
0.0506591,0,-32,-84.5
0.0389858,8,-32,-84.5
0.0760953,-24,-24,-84.5
0.0724156,-16,-24,-84.5
0.0570182,-8,-24,-84.5
0.079781,-24,-16,-84.5
0.066438,-16,-16,-84.5
0.0374086,-8,-16,-84.5
0.086941,-24,-8,-84.5
0.0632102,-16,-8,-84.5
0.0215235,-8,-8,-84.5
0.0921865,-24,0,-84.5
0.0769143,-16,0,-84.5
0.035537,-8,0,-84.5
0.099359,-24,8,-84.5
0.087881,-16,8,-84.5
0.0407672,-8,8,-84.5
0.0114073,0,8,-84.5
-0.0295515,8,8,-84.5
0.101952,-24,16,-84.5
0.09768,-16,16,-84.5
0.0515722,-8,16,-84.5
0.0237913,0,16,-84.5
-0.0106302,8,16,-84.5
0.0978721,-24,24,-84.5
0.10112,-16,24,-84.5
0.026497,0,24,-84.5
0.00544292,8,24,-84.5
0.0186273,-8,-72,-76.5
0.0300141,0,-72,-76.5
0.0484419,8,-72,-76.5
0.0217442,-8,-64,-76.5
0.0246189,0,-64,-76.5
0.0378795,8,-64,-76.5
0.0499684,-16,-56,-76.5
0.0420223,-8,-56,-76.5
0.0406379,0,-56,-76.5
0.0441307,8,-56,-76.5
0.0600348,16,-56,-76.5
0.0727129,-24,-48,-76.5
0.0625515,-16,-48,-76.5
0.0573068,-8,-48,-76.5
0.0563974,0,-48,-76.5
0.0581288,8,-48,-76.5
0.0694916,16,-48,-76.5
0.0651228,-24,-40,-76.5
0.0650334,-16,-40,-76.5
0.0653346,-8,-40,-76.5
0.0566757,0,-40,-76.5
0.0556567,8,-40,-76.5
0.06241,16,-40,-76.5
0.0696429,-24,-32,-76.5
0.0712146,-16,-32,-76.5
0.0692752,-8,-32,-76.5
0.0553466,0,-32,-76.5
0.0492614,8,-32,-76.5
0.0434845,16,-32,-76.5
0.0633043,24,-32,-76.5
0.077736,-24,-24,-76.5
0.0717278,-16,-24,-76.5
0.0590129,-8,-24,-76.5
0.0863243,-24,-16,-76.5
0.0705352,-16,-16,-76.5
0.0441447,-8,-16,-76.5
0.0988735,-24,-8,-76.5
0.0724264,-16,-8,-76.5
0.0401195,-8,-8,-76.5
0.109879,-24,0,-76.5
0.0835987,-16,0,-76.5
0.057232,-8,0,-76.5
0.119723,-24,8,-76.5
0.0955679,-16,8,-76.5
0.067547,-8,8,-76.5
0.0410685,0,8,-76.5
0.0452929,8,8,-76.5
0.124973,-24,16,-76.5
0.104551,-16,16,-76.5
0.0774063,-8,16,-76.5
0.0567522,0,16,-76.5
0.0714362,8,16,-76.5
0.118474,-24,24,-76.5
0.101606,-16,24,-76.5
0.0757589,-8,24,-76.5
0.0653253,0,24,-76.5
0.0917534,8,24,-76.5
0.0996266,-24,32,-76.5
0.0750323,-16,32,-76.5
0.0779303,-24,40,-76.5
0.0275843,-8,-80,-68.5
0.0214437,0,-80,-68.5
0.0299347,8,-80,-68.5
0.0384795,-16,-72,-68.5
0.0406297,-8,-72,-68.5
0.0380795,0,-72,-68.5
0.0434401,8,-72,-68.5
0.0502742,-24,-64,-68.5
0.0441699,-16,-64,-68.5
0.0419155,-8,-64,-68.5
0.0422884,0,-64,-68.5
0.0500113,8,-64,-68.5
0.0647053,16,-64,-68.5
0.0578621,-24,-56,-68.5
0.0542052,-16,-56,-68.5
0.0518667,-8,-56,-68.5
0.0526013,0,-56,-68.5
0.0582981,8,-56,-68.5
0.0711789,16,-56,-68.5
0.0605413,-32,-48,-68.5
0.066689,-24,-48,-68.5
0.0641128,-16,-48,-68.5
0.0624125,-8,-48,-68.5
0.061816,0,-48,-68.5
0.0656668,8,-48,-68.5
0.0725282,16,-48,-68.5
0.0784747,24,-48,-68.5
0.0597897,-32,-40,-68.5
0.0703954,-24,-40,-68.5
0.0685272,-16,-40,-68.5
0.0673489,-8,-40,-68.5
0.0581078,0,-40,-68.5
0.0556393,8,-40,-68.5
0.0598142,16,-40,-68.5
0.064301,24,-40,-68.5
0.0540079,-32,-32,-68.5
0.0708295,-24,-32,-68.5
0.0714562,-16,-32,-68.5
0.0662711,-8,-32,-68.5
0.0513076,0,-32,-68.5
0.0477537,8,-32,-68.5
0.0494219,16,-32,-68.5
0.0594015,24,-32,-68.5
0.0598595,-32,-24,-68.5
0.0747532,-24,-24,-68.5
0.0699395,-16,-24,-68.5
0.0532543,-8,-24,-68.5
0.0264516,16,-24,-68.5
0.0380904,24,-24,-68.5
0.0,32,-24,-68.5
0.0734694,-32,-16,-68.5
0.0843574,-24,-16,-68.5
0.0694986,-16,-16,-68.5
0.0393934,-8,-16,-68.5
0.0,32,-16,-68.5
0.0884212,-32,-8,-68.5
0.0965639,-24,-8,-68.5
0.0747924,-16,-8,-68.5
0.038728,-8,-8,-68.5
0.0,32,-8,-68.5
0.101783,-32,0,-68.5
0.106387,-24,0,-68.5
0.0919386,-16,0,-68.5
0.067158,-8,0,-68.5
0.10988,32,0,-68.5
0.118887,-32,8,-68.5
0.118089,-24,8,-68.5
0.103982,-16,8,-68.5
0.0827109,-8,8,-68.5
0.0584254,0,8,-68.5
0.0471205,24,8,-68.5
0.104255,32,8,-68.5
0.132727,-32,16,-68.5
0.127478,-24,16,-68.5
0.113146,-16,16,-68.5
0.0957461,-8,16,-68.5
0.0840977,0,16,-68.5
0.0930458,8,16,-68.5
0.0836579,16,16,-68.5
0.0587377,24,16,-68.5
0.110142,32,16,-68.5
0.141805,-32,24,-68.5
0.132034,-24,24,-68.5
0.115638,-16,24,-68.5
0.101419,-8,24,-68.5
0.106997,0,24,-68.5
0.106979,8,24,-68.5
0.125466,-24,32,-68.5
0.101908,-16,32,-68.5
0.103195,-24,40,-68.5
0.0247008,-8,-88,-60.5
0.00874273,0,-88,-60.5
0.0480104,-16,-80,-60.5
0.0419271,-8,-80,-60.5
0.0279218,0,-80,-60.5
0.0293,8,-80,-60.5
0.0559593,-24,-72,-60.5
0.0500755,-16,-72,-60.5
0.0452893,-8,-72,-60.5
0.0366538,0,-72,-60.5
0.0386742,8,-72,-60.5
0.0451644,16,-72,-60.5
0.0568101,-32,-64,-60.5
0.0540678,-24,-64,-60.5
0.0506907,-16,-64,-60.5
0.0477735,-8,-64,-60.5
0.0448559,0,-64,-60.5
0.0484367,8,-64,-60.5
0.0586544,16,-64,-60.5
0.0562155,-32,-56,-60.5
0.0561941,-24,-56,-60.5
0.0540744,-16,-56,-60.5
0.0542856,-8,-56,-60.5
0.0549639,0,-56,-60.5
0.0589452,8,-56,-60.5
0.0675322,16,-56,-60.5
0.0807564,24,-56,-60.5
0.0551038,-32,-48,-60.5
0.0633839,-24,-48,-60.5
0.0621142,-16,-48,-60.5
0.0623992,-8,-48,-60.5
0.0622401,0,-48,-60.5
0.0624962,8,-48,-60.5
0.0650778,16,-48,-60.5
0.0696516,24,-48,-60.5
0.0582433,-32,-40,-60.5
0.0710671,-24,-40,-60.5
0.0673841,-16,-40,-60.5
0.0660376,-8,-40,-60.5
0.0557819,0,-40,-60.5
0.0476704,8,-40,-60.5
0.0481298,16,-40,-60.5
0.0515566,24,-40,-60.5
0.0585039,-32,-32,-60.5
0.0757921,-24,-32,-60.5
0.0702206,-16,-32,-60.5
0.0621598,-8,-32,-60.5
0.0446789,0,-32,-60.5
0.0364569,8,-32,-60.5
0.0466715,16,-32,-60.5
0.0627855,-32,-24,-60.5
0.0772563,-24,-24,-60.5
0.0654212,-16,-24,-60.5
0.0464519,-8,-24,-60.5
0.044346,16,-24,-60.5
0.0724908,-32,-16,-60.5
0.0811002,-24,-16,-60.5
0.0584659,-16,-16,-60.5
0.0810453,-32,-8,-60.5
0.0887966,-24,-8,-60.5
0.0623151,-16,-8,-60.5
0.0881542,-32,0,-60.5
0.103506,-24,0,-60.5
0.092001,-16,0,-60.5
0.0702616,-8,0,-60.5
0.0691621,32,0,-60.5
0.109937,-32,8,-60.5
0.116774,-24,8,-60.5
0.10676,-16,8,-60.5
0.0904974,-8,8,-60.5
0.113311,24,8,-60.5
0.093674,32,8,-60.5
0.134688,-32,16,-60.5
0.128188,-24,16,-60.5
0.120365,-16,16,-60.5
0.110319,-8,16,-60.5
0.106431,0,16,-60.5
0.113915,8,16,-60.5
0.127173,16,16,-60.5
0.140113,24,16,-60.5
0.120195,32,16,-60.5
0.145627,-32,24,-60.5
0.138851,-24,24,-60.5
0.133531,-16,24,-60.5
0.132153,-8,24,-60.5
0.130687,0,24,-60.5
0.123193,8,24,-60.5
0.131127,16,24,-60.5
0.148615,24,24,-60.5
0.134298,32,24,-60.5
0.150904,-32,32,-60.5
0.137956,-24,32,-60.5
0.13332,-16,32,-60.5
0.140774,24,32,-60.5
0.134937,32,32,-60.5
0.145186,-32,40,-60.5
0.126009,-24,40,-60.5
0.12652,-24,48,-60.5
-0.00280064,-8,-96,-52.5
-0.0161746,0,-96,-52.5
0.0557023,-24,-88,-52.5
0.0363133,-16,-88,-52.5
0.0225244,-8,-88,-52.5
0.0120979,0,-88,-52.5
0.00794486,8,-88,-52.5
0.0697663,-32,-80,-52.5
0.059298,-24,-80,-52.5
0.0483665,-16,-80,-52.5
0.0376079,-8,-80,-52.5
0.0267841,0,-80,-52.5
0.0274025,8,-80,-52.5
0.0297418,16,-80,-52.5
0.0640173,-32,-72,-52.5
0.0524787,-24,-72,-52.5
0.0444213,-16,-72,-52.5
0.0381016,-8,-72,-52.5
0.0308132,0,-72,-52.5
0.0341171,8,-72,-52.5
0.0458011,16,-72,-52.5
0.0601558,24,-72,-52.5
0.0541011,-32,-64,-52.5
0.04574,-24,-64,-52.5
0.0405967,-16,-64,-52.5
0.0378674,-8,-64,-52.5
0.0360462,0,-64,-52.5
0.0421831,8,-64,-52.5
0.0605284,16,-64,-52.5
0.0868958,24,-64,-52.5
0.0425512,-40,-56,-52.5
0.047016,-32,-56,-52.5
0.0435624,-24,-56,-52.5
0.0412848,-16,-56,-52.5
0.0428467,-8,-56,-52.5
0.0444642,0,-56,-52.5
0.0507906,8,-56,-52.5
0.067458,16,-56,-52.5
0.090016,24,-56,-52.5
0.0306317,-40,-48,-52.5
0.0500627,-32,-48,-52.5
0.0503748,-24,-48,-52.5
0.0475464,-16,-48,-52.5
0.0482869,-8,-48,-52.5
0.0488438,0,-48,-52.5
0.0504933,8,-48,-52.5
0.0586513,16,-48,-52.5
0.0741431,24,-48,-52.5
0.0368577,-40,-40,-52.5
0.0574338,-32,-40,-52.5
0.0582148,-24,-40,-52.5
0.0512659,-16,-40,-52.5
0.0503979,-8,-40,-52.5
0.0399816,0,-40,-52.5
0.0316565,8,-40,-52.5
0.0306862,16,-40,-52.5
0.0420649,-40,-32,-52.5
0.0656381,-32,-32,-52.5
0.0684382,-24,-32,-52.5
0.057176,-16,-32,-52.5
0.0474976,-8,-32,-52.5
0.0279906,0,-32,-52.5
0.019034,8,-32,-52.5
0.0455981,-40,-24,-52.5
0.073588,-32,-24,-52.5
0.0776876,-24,-24,-52.5
0.0615198,-16,-24,-52.5
0.0388344,-8,-24,-52.5
0.0574621,-40,-16,-52.5
0.0802656,-32,-16,-52.5
0.0772227,-24,-16,-52.5
0.0493895,-16,-16,-52.5
0.0650109,-40,-8,-52.5
0.0900742,-32,-8,-52.5
0.0844643,-24,-8,-52.5
0.0524842,-16,-8,-52.5
0.079187,-40,0,-52.5
0.103863,-32,0,-52.5
0.106512,-24,0,-52.5
0.0911314,-16,0,-52.5
0.0753988,32,0,-52.5
0.103627,-40,8,-52.5
0.121979,-32,8,-52.5
0.120547,-24,8,-52.5
0.106645,-16,8,-52.5
0.0737724,-8,8,-52.5
0.0952112,24,8,-52.5
0.0994332,32,8,-52.5
0.13007,-40,16,-52.5
0.138719,-32,16,-52.5
0.133404,-24,16,-52.5
0.123815,-16,16,-52.5
0.0985197,-8,16,-52.5
0.0892708,0,16,-52.5
0.0968832,8,16,-52.5
0.112475,16,16,-52.5
0.12651,24,16,-52.5
0.125501,32,16,-52.5
0.156598,-40,24,-52.5
0.152988,-32,24,-52.5
0.146189,-24,24,-52.5
0.139872,-16,24,-52.5
0.125001,-8,24,-52.5
0.128014,0,24,-52.5
0.115977,8,24,-52.5
0.129305,16,24,-52.5
0.146374,24,24,-52.5
0.138555,32,24,-52.5
0.159387,-32,32,-52.5
0.152067,-24,32,-52.5
0.148188,-16,32,-52.5
0.137242,16,32,-52.5
0.160614,24,32,-52.5
0.138194,32,32,-52.5
0.158764,-32,40,-52.5
0.147949,-24,40,-52.5
0.185205,24,40,-52.5
0.127558,32,40,-52.5
0.144839,-32,48,-52.5
0.140186,-24,48,-52.5
0.119001,-24,56,-52.5
0.012337,-16,-104,-44.5
-0.00173223,-8,-104,-44.5
-0.0166005,0,-104,-44.5
0.0465215,-24,-96,-44.5
0.0303054,-16,-96,-44.5
0.0163158,-8,-96,-44.5
0.00507614,0,-96,-44.5
-0.000112604,8,-96,-44.5
