Specific Ventilation,x,y,z
0.146147,-3.8268,-7.96039,-6.39414
0.131757,-3.3101,-7.96039,-6.39414
0.149802,-4.3435,-7.44369,-6.39414
0.144248,-3.8268,-7.44369,-6.39414
0.144079,-3.3101,-7.44369,-6.39414
0.158916,-2.7934,-7.44369,-6.39414
0.181203,-2.2767,-7.44369,-6.39414
0.141035,-4.3435,-6.92699,-6.39414
0.138857,-3.8268,-6.92699,-6.39414
0.144146,-3.3101,-6.92699,-6.39414
0.161287,-2.7934,-6.92699,-6.39414
0.188591,-2.2767,-6.92699,-6.39414
0.221196,-1.76,-6.92699,-6.39414
0.0955485,-4.3435,-6.41029,-6.39414
0.105363,-3.8268,-6.41029,-6.39414
0.120014,-3.3101,-6.41029,-6.39414
0.148426,-2.7934,-6.41029,-6.39414
0.187091,-2.2767,-6.41029,-6.39414
0.223567,-1.76,-6.41029,-6.39414
0.0829108,-3.8268,-5.89359,-6.39414
0.082775,-3.3101,-5.89359,-6.39414
0.122611,-2.7934,-5.89359,-6.39414
0.180026,-2.2767,-5.89359,-6.39414
0.237008,-1.76,-5.89359,-6.39414
0.0549183,-4.3435,-5.37689,-6.39414
0.0722356,-3.8268,-5.37689,-6.39414
0.0495742,-3.3101,-5.37689,-6.39414
0.106915,-2.7934,-5.37689,-6.39414
0.190428,-2.2767,-5.37689,-6.39414
0.250934,-1.76,-5.37689,-6.39414
0.251963,-1.24331,-5.37689,-6.39414
0.0398162,-4.8602,-4.8602,-6.39414
0.0732958,-4.3435,-4.8602,-6.39414
0.0773548,-3.8268,-4.8602,-6.39414
0.218415,-2.2767,-4.8602,-6.39414
0.301597,-1.76,-4.8602,-6.39414
0.331765,-1.24331,-4.8602,-6.39414
0.103889,-7.44369,-4.3435,-6.39414
0.0395617,-5.37689,-4.3435,-6.39414
0.0797565,-4.8602,-4.3435,-6.39414
0.0904877,-4.3435,-4.3435,-6.39414
0.282441,-1.76,-4.3435,-6.39414
0.378644,-1.24331,-4.3435,-6.39414
0.209401,-7.96039,-3.8268,-6.39414
0.201952,-7.44369,-3.8268,-6.39414
0.111755,-4.8602,-3.8268,-6.39414
0.314297,-1.24331,-3.8268,-6.39414
0.224891,-7.96039,-3.3101,-6.39414
0.223894,-7.44369,-3.3101,-6.39414
0.196841,-1.24331,-3.3101,-6.39414
0.264504,-7.96039,-2.7934,-6.39414
0.268127,-7.44369,-2.7934,-6.39414
0.228089,-6.92699,-2.7934,-6.39414
0.290701,-7.44369,-2.2767,-6.39414
0.28285,-6.92699,-2.2767,-6.39414
0.265851,-6.41029,-1.76,-6.39414
0,-5.89359,-1.24331,-6.39414
0.116264,-3.8268,-7.96039,-5.87744
0.107238,-3.3101,-7.96039,-5.87744
0.116463,-2.7934,-7.96039,-5.87744
0.132733,-4.3435,-7.44369,-5.87744
0.122137,-3.8268,-7.44369,-5.87744
0.118999,-3.3101,-7.44369,-5.87744
0.13064,-2.7934,-7.44369,-5.87744
0.153611,-2.2767,-7.44369,-5.87744
0.126208,-4.3435,-6.92699,-5.87744
0.117496,-3.8268,-6.92699,-5.87744
0.117632,-3.3101,-6.92699,-5.87744
0.130767,-2.7934,-6.92699,-5.87744
0.155268,-2.2767,-6.92699,-5.87744
0.192896,-1.76,-6.92699,-5.87744
0.0953119,-4.3435,-6.41029,-5.87744
0.0935579,-3.8268,-6.41029,-5.87744
0.0992,-3.3101,-6.41029,-5.87744
0.120778,-2.7934,-6.41029,-5.87744
0.149551,-2.2767,-6.41029,-5.87744
0.185468,-1.76,-6.41029,-5.87744
0.0760276,-4.3435,-5.89359,-5.87744
0.0711487,-3.8268,-5.89359,-5.87744
0.0661688,-3.3101,-5.89359,-5.87744
0.0950305,-2.7934,-5.89359,-5.87744
0.138122,-2.2767,-5.89359,-5.87744
0.183732,-1.76,-5.89359,-5.87744
0.203166,-1.24331,-5.89359,-5.87744
0.0458183,-4.3435,-5.37689,-5.87744
0.0634584,-3.8268,-5.37689,-5.87744
0.0378351,-3.3101,-5.37689,-5.87744
0.0740037,-2.7934,-5.37689,-5.87744
0.141847,-2.2767,-5.37689,-5.87744
0.196233,-1.76,-5.37689,-5.87744
0.224034,-1.24331,-5.37689,-5.87744
0.0310563,-4.8602,-4.8602,-5.87744
0.0726139,-4.3435,-4.8602,-5.87744
0.158365,-2.2767,-4.8602,-5.87744
0.245458,-1.76,-4.8602,-5.87744
0.293448,-1.24331,-4.8602,-5.87744
0.113154,-7.96039,-4.3435,-5.87744
0.0936421,-7.44369,-4.3435,-5.87744
0.00418337,-5.37689,-4.3435,-5.87744
0.0903772,-4.8602,-4.3435,-5.87744
0.226256,-1.76,-4.3435,-5.87744
0.319614,-1.24331,-4.3435,-5.87744
0.371217,-0.726607,-4.3435,-5.87744
0.221345,-8.47708,-3.8268,-5.87744
0.212508,-7.96039,-3.8268,-5.87744
0.18517,-7.44369,-3.8268,-5.87744
0.0610281,-5.37689,-3.8268,-5.87744
0.233744,-1.24331,-3.8268,-5.87744
0.37375,-0.726607,-3.8268,-5.87744
0.233385,-8.47708,-3.3101,-5.87744
0.227795,-7.96039,-3.3101,-5.87744
0.216708,-7.44369,-3.3101,-5.87744
0.111306,-0.726607,-3.3101,-5.87744
0.239809,-7.96039,-2.7934,-5.87744
0.235605,-7.44369,-2.7934,-5.87744
0.198657,-6.92699,-2.7934,-5.87744
0,-0.726607,-2.7934,-5.87744
0.253122,-7.44369,-2.2767,-5.87744
0.233728,-6.92699,-2.2767,-5.87744
0.249786,-6.92699,-1.76,-5.87744
0.263678,-6.41029,-1.76,-5.87744
0,-5.89359,-1.24331,-5.87744
0.0552075,-3.3101,-8.47708,-5.36075
0.0620744,-2.7934,-8.47708,-5.36075
0.0840914,-3.8268,-7.96039,-5.36075
0.0794875,-3.3101,-7.96039,-5.36075
0.091889,-2.7934,-7.96039,-5.36075
0.114189,-2.2767,-7.96039,-5.36075
0.107058,-4.3435,-7.44369,-5.36075
0.0969378,-3.8268,-7.44369,-5.36075
0.0955696,-3.3101,-7.44369,-5.36075
0.106183,-2.7934,-7.44369,-5.36075
0.1225,-2.2767,-7.44369,-5.36075
0.149573,-1.76,-7.44369,-5.36075
0.105065,-4.3435,-6.92699,-5.36075
0.0974079,-3.8268,-6.92699,-5.36075
0.0985646,-3.3101,-6.92699,-5.36075
0.110161,-2.7934,-6.92699,-5.36075
0.126994,-2.2767,-6.92699,-5.36075
0.162976,-1.76,-6.92699,-5.36075
0.082828,-4.3435,-6.41029,-5.36075
0.0812562,-3.8268,-6.41029,-5.36075
0.086674,-3.3101,-6.41029,-5.36075
0.103883,-2.7934,-6.41029,-5.36075
0.12858,-2.2767,-6.41029,-5.36075
0.162401,-1.76,-6.41029,-5.36075
0.204644,-1.24331,-6.41029,-5.36075
0.0583337,-4.3435,-5.89359,-5.36075
0.0583171,-3.8268,-5.89359,-5.36075
0.0528984,-3.3101,-5.89359,-5.36075
0.0796283,-2.7934,-5.89359,-5.36075
0.125472,-2.2767,-5.89359,-5.36075
0.163032,-1.76,-5.89359,-5.36075
0.203433,-1.24331,-5.89359,-5.36075
0.0328004,-4.3435,-5.37689,-5.36075
0.0499721,-3.8268,-5.37689,-5.36075
0.12015,-2.2767,-5.37689,-5.36075
0.17323,-1.76,-5.37689,-5.36075
0.217308,-1.24331,-5.37689,-5.36075
0.0263916,-4.8602,-4.8602,-5.36075
0.0558391,-4.3435,-4.8602,-5.36075
0.222072,-1.76,-4.8602,-5.36075
0.269064,-1.24331,-4.8602,-5.36075
0.147645,-7.96039,-4.3435,-5.36075
-0.00642911,-5.37689,-4.3435,-5.36075
0.0842188,-4.8602,-4.3435,-5.36075
0.283544,-1.24331,-4.3435,-5.36075
0.297694,-0.726607,-4.3435,-5.36075
0.219324,-8.47708,-3.8268,-5.36075
