Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.040078,8,-88,-104.5
0.0443062,16,-88,-104.5
0.0513103,24,-88,-104.5
0.00891144,-8,-80,-104.5
0.029215,0,-80,-104.5
0.0432772,8,-80,-104.5
0.0434395,16,-80,-104.5
0.0451331,24,-80,-104.5
0.0477886,32,-80,-104.5
0.0289293,-8,-72,-104.5
0.0399906,0,-72,-104.5
0.0474635,8,-72,-104.5
0.0448343,16,-72,-104.5
0.0456017,24,-72,-104.5
0.0437405,32,-72,-104.5
0.0281782,-8,-64,-104.5
0.0391438,0,-64,-104.5
0.0453136,8,-64,-104.5
0.043612,16,-64,-104.5
0.0417078,24,-64,-104.5
0.0414094,32,-64,-104.5
0.0240708,-16,-56,-104.5
0.0317941,-8,-56,-104.5
0.0399908,0,-56,-104.5
0.0442467,8,-56,-104.5
0.042876,16,-56,-104.5
0.0365602,24,-56,-104.5
0.0375494,32,-56,-104.5
0.0342976,-16,-48,-104.5
0.0404485,-8,-48,-104.5
0.043319,0,-48,-104.5
0.0464589,8,-48,-104.5
0.044561,16,-48,-104.5
0.0370077,24,-48,-104.5
0.0338571,32,-48,-104.5
0.0239289,-24,-40,-104.5
0.0354964,-16,-40,-104.5
0.0399213,-8,-40,-104.5
0.0396994,0,-40,-104.5
0.0444615,8,-40,-104.5
0.0437277,16,-40,-104.5
0.0354986,24,-40,-104.5
0.0297643,32,-40,-104.5
0.0280924,40,-40,-104.5
0.0256221,-24,-32,-104.5
0.0342413,-16,-32,-104.5
0.0351093,-8,-32,-104.5
0.0330394,0,-32,-104.5
0.0367209,8,-32,-104.5
0.0258908,24,-32,-104.5
0.0196595,32,-32,-104.5
0.0160841,40,-32,-104.5
0.0256496,-24,-24,-104.5
0.0334478,-16,-24,-104.5
0.0298585,-8,-24,-104.5
0.0225432,0,-24,-104.5
0.00891765,32,-24,-104.5
0.00534155,40,-24,-104.5
0.0324742,-24,-16,-104.5
0.035972,-16,-16,-104.5
0.0353519,-8,-16,-104.5
0.0101695,32,-16,-104.5
0.00623116,40,-16,-104.5
0.0266071,-24,-8,-104.5
0.027028,-16,-8,-104.5
0.0222306,-8,-8,-104.5
0.00070348,24,-8,-104.5
0.0368885,16,16,-104.5
0.0340579,8,-96,-96.5
0.0435734,16,-96,-96.5
0.0480015,24,-96,-96.5
0.0380396,0,-88,-96.5
0.0443448,8,-88,-96.5
0.0490363,16,-88,-96.5
0.0518709,24,-88,-96.5
0.0492429,32,-88,-96.5
0.0325681,-8,-80,-96.5
0.0394166,0,-80,-96.5
0.0465015,8,-80,-96.5
0.0480277,16,-80,-96.5
0.0497496,24,-80,-96.5
0.0490328,32,-80,-96.5
0.0346116,-8,-72,-96.5
0.0416066,0,-72,-96.5
0.046021,8,-72,-96.5
0.0472008,16,-72,-96.5
0.0473354,24,-72,-96.5
0.0452586,32,-72,-96.5
0.0370986,40,-72,-96.5
0.0279282,-16,-64,-96.5
0.0348464,-8,-64,-96.5
0.0400888,0,-64,-96.5
0.0437457,8,-64,-96.5
0.0456341,16,-64,-96.5
0.0442588,24,-64,-96.5
0.0413506,32,-64,-96.5
0.0322356,40,-64,-96.5
0.0321211,-16,-56,-96.5
0.0347642,-8,-56,-96.5
0.0390657,0,-56,-96.5
0.0426905,8,-56,-96.5
0.0446167,16,-56,-96.5
0.0410965,24,-56,-96.5
0.0357145,32,-56,-96.5
0.0290281,40,-56,-96.5
0.0231493,-24,-48,-96.5
0.0365848,-16,-48,-96.5
0.0369083,-8,-48,-96.5
0.0384457,0,-48,-96.5
0.0408292,8,-48,-96.5
0.0425931,16,-48,-96.5
0.0384153,24,-48,-96.5
0.0317872,32,-48,-96.5
0.0256503,40,-48,-96.5
0.0289298,-24,-40,-96.5
0.0386967,-16,-40,-96.5
0.0374735,-8,-40,-96.5
0.0376114,0,-40,-96.5
0.0394365,8,-40,-96.5
0.0418042,16,-40,-96.5
0.0366341,24,-40,-96.5
0.0285017,32,-40,-96.5
0.0247313,40,-40,-96.5
0.0360545,-24,-32,-96.5
0.0406012,-16,-32,-96.5
0.0377911,-8,-32,-96.5
0.0366613,0,-32,-96.5
0.0362528,8,-32,-96.5
0.0330023,24,-32,-96.5
0.0248151,32,-32,-96.5
0.0177108,40,-32,-96.5
0.0360674,-24,-24,-96.5
0.0391465,-16,-24,-96.5
0.0348009,-8,-24,-96.5
0.0296363,0,-24,-96.5
0.0198891,32,-24,-96.5
0.0097023,40,-24,-96.5
0.0365478,-32,-16,-96.5
0.0368404,-24,-16,-96.5
0.0363133,-16,-16,-96.5
0.0306155,-8,-16,-96.5
0.0200328,32,-16,-96.5
0.00709044,40,-16,-96.5
0.0357745,-32,-8,-96.5
0.0351952,-24,-8,-96.5
0.030601,-16,-8,-96.5
0.0212978,-8,-8,-96.5
0.00612551,24,-8,-96.5
0.0163244,32,-8,-96.5
0.0165003,40,-8,-96.5
0.0364861,-32,0,-96.5
0.0379683,-24,0,-96.5
0.0357666,-16,0,-96.5
0.0331631,-8,0,-96.5
0.0267524,32,0,-96.5
0.024514,40,0,-96.5
