Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0491899,8,-88,-104.5
0.0701214,16,-88,-104.5
0.089375,24,-88,-104.5
0.00311999,-8,-80,-104.5
0.0447975,0,-80,-104.5
0.0733851,8,-80,-104.5
0.0809616,16,-80,-104.5
0.0918361,24,-80,-104.5
0.104586,32,-80,-104.5
0.0477652,-8,-72,-104.5
0.0726702,0,-72,-104.5
0.0872331,8,-72,-104.5
0.0891241,16,-72,-104.5
0.0989453,24,-72,-104.5
0.103373,32,-72,-104.5
0.052184,-8,-64,-104.5
0.0800171,0,-64,-104.5
0.0879915,8,-64,-104.5
0.0877137,16,-64,-104.5
0.0889876,24,-64,-104.5
0.0947998,32,-64,-104.5
0.0325836,-16,-56,-104.5
0.0568512,-8,-56,-104.5
0.079066,0,-56,-104.5
0.0840475,8,-56,-104.5
0.0803571,16,-56,-104.5
0.074702,24,-56,-104.5
0.0773267,32,-56,-104.5
0.0566322,-16,-48,-104.5
0.0685232,-8,-48,-104.5
0.0797215,0,-48,-104.5
0.0787761,8,-48,-104.5
0.0735063,16,-48,-104.5
0.0690937,24,-48,-104.5
0.0716104,32,-48,-104.5
0.0582102,-24,-40,-104.5
0.0705655,-16,-40,-104.5
0.0776741,-8,-40,-104.5
0.0786901,0,-40,-104.5
0.0751426,8,-40,-104.5
0.0691144,16,-40,-104.5
0.0668002,24,-40,-104.5
0.0723592,32,-40,-104.5
0.0624826,40,-40,-104.5
0.0725763,-24,-32,-104.5
0.0743188,-16,-32,-104.5
0.0801078,-8,-32,-104.5
0.076577,0,-32,-104.5
0.0657766,8,-32,-104.5
0.0541544,24,-32,-104.5
0.0674678,32,-32,-104.5
0.0614033,40,-32,-104.5
0.0828738,-24,-24,-104.5
0.0820419,-16,-24,-104.5
0.0841348,-8,-24,-104.5
0.0714557,0,-24,-104.5
0.0531159,32,-24,-104.5
0.0451744,40,-24,-104.5
0.0942111,-24,-16,-104.5
0.0884377,-16,-16,-104.5
0.0830139,-8,-16,-104.5
0.0482719,32,-16,-104.5
0.0465227,40,-16,-104.5
0.090948,-24,-8,-104.5
0.092301,-16,-8,-104.5
0.0789224,-8,-8,-104.5
0.0465479,24,-8,-104.5
0.0946651,16,16,-104.5
0.0495402,8,-96,-96.5
0.0685978,16,-96,-96.5
0.0787831,24,-96,-96.5
0.0641637,0,-88,-96.5
0.0755368,8,-88,-96.5
0.0848825,16,-88,-96.5
0.093582,24,-88,-96.5
0.102487,32,-88,-96.5
0.060142,-8,-80,-96.5
0.071459,0,-80,-96.5
0.0814709,8,-80,-96.5
0.0865749,16,-80,-96.5
0.0954672,24,-80,-96.5
0.103626,32,-80,-96.5
0.0626018,-8,-72,-96.5
0.0757385,0,-72,-96.5
0.080892,8,-72,-96.5
0.0863299,16,-72,-96.5
0.0935715,24,-72,-96.5
