Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0281724,-20,-12,-116.7
0.0298155,-12,-12,-116.7
0.0462123,-20,-4,-116.7
0.0262702,-12,-4,-116.7
0.0168503,-4,-4,-116.7
0.022899,-12,4,-116.7
0.00380135,-4,4,-116.7
0.0299298,-4,-84,-108.7
0.0344044,4,-84,-108.7
0.0215443,-12,-76,-108.7
0.0342588,-4,-76,-108.7
0.0419002,4,-76,-108.7
0.0171434,-20,-68,-108.7
0.0283667,-12,-68,-108.7
0.0325967,-4,-68,-108.7
0.0241995,4,-68,-108.7
0.0620733,-20,-60,-108.7
0.0521772,-12,-60,-108.7
0.0434929,-4,-60,-108.7
0.0498789,4,-60,-108.7
0.0638336,-28,-52,-108.7
0.0781746,-20,-52,-108.7
0.0546927,-12,-52,-108.7
0.0477676,-4,-52,-108.7
0.058698,4,-52,-108.7
0.0279567,12,-52,-108.7
0.0726291,-28,-44,-108.7
0.0844774,-20,-44,-108.7
0.047949,-12,-44,-108.7
0.0393283,12,-44,-108.7
0.0781755,-28,-36,-108.7
0.0908946,-20,-36,-108.7
0.0391271,12,-36,-108.7
0.0415242,-28,-28,-108.7
0.0312551,-20,-28,-108.7
0.0441132,-28,-20,-108.7
0.0133891,-20,-20,-108.7
0.0599617,-28,-12,-108.7
0.0411978,-20,-12,-108.7
0.0247669,-12,-12,-108.7
0.0456699,-28,-4,-108.7
0.0391591,-20,-4,-108.7
0.0323022,-12,-4,-108.7
0.0332069,-4,-4,-108.7
0.0428325,-12,4,-108.7
0.0356261,-4,4,-108.7
0.0635076,4,4,-108.7
0.0396644,-12,-92,-100.7
0.0400447,-4,-92,-100.7
0.0374399,4,-92,-100.7
0.0237135,-20,-84,-100.7
0.0319141,-12,-84,-100.7
0.03337,-4,-84,-100.7
0.0326525,4,-84,-100.7
0.0211061,-28,-76,-100.7
0.0174911,-20,-76,-100.7
0.0237203,-12,-76,-100.7
0.029486,-4,-76,-100.7
0.0306159,4,-76,-100.7
0.0294114,12,-76,-100.7
0.0213214,-28,-68,-100.7
0.0209341,-20,-68,-100.7
0.027677,-12,-68,-100.7
0.031042,-4,-68,-100.7
0.0272993,4,-68,-100.7
0.0210088,12,-68,-100.7
0.027454,-28,-60,-100.7
0.0238394,-20,-60,-100.7
0.0290586,-12,-60,-100.7
0.0319252,-4,-60,-100.7
0.0352121,4,-60,-100.7
