Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0160164,0,-64,-108.25
0.0312594,8,-64,-108.25
0.0145006,-8,-56,-108.25
0.0229428,0,-56,-108.25
0.0272236,8,-56,-108.25
0.0201898,-16,-48,-108.25
0.026183,-8,-48,-108.25
0.0287767,0,-48,-108.25
0.0324991,8,-48,-108.25
0.0219119,-8,-40,-108.25
0.00429992,-8,-72,-100.25
0.0107637,0,-72,-100.25
0.0163728,8,-72,-100.25
0.00865575,-16,-64,-100.25
0.0153001,-8,-64,-100.25
0.0231439,0,-64,-100.25
0.0269093,8,-64,-100.25
0.028819,16,-64,-100.25
0.00971801,-24,-56,-100.25
0.0168912,-16,-56,-100.25
0.0236532,-8,-56,-100.25
0.0301173,0,-56,-100.25
0.0281984,8,-56,-100.25
0.0281242,16,-56,-100.25
0.0150006,-24,-48,-100.25
0.0233661,-16,-48,-100.25
0.0288979,-8,-48,-100.25
0.0304146,0,-48,-100.25
0.0268594,8,-48,-100.25
0.0247901,16,-48,-100.25
0.0236449,-24,-40,-100.25
0.0289988,-16,-40,-100.25
0.0321333,-8,-40,-100.25
0.0325364,0,-40,-100.25
0.0284254,8,-40,-100.25
0.0213535,16,-40,-100.25
0.0287161,-24,-32,-100.25
0.0357027,-16,-32,-100.25
0.0447845,-8,-32,-100.25
0.0458782,0,-32,-100.25
0.0355287,8,-32,-100.25
0.0318196,16,-32,-100.25
0.0372362,-24,-24,-100.25
0.0468629,-16,-24,-100.25
0.063789,-8,-24,-100.25
0.0601267,16,-24,-100.25
0.0453323,-32,-16,-100.25
0.0512363,-24,-16,-100.25
0.0624228,-16,-16,-100.25
0.0172431,-32,-8,-100.25
0.0392888,-24,-8,-100.25
0.0603803,-16,-8,-100.25
0.0235204,-32,0,-100.25
0.0505672,-24,0,-100.25
0.0626922,-16,0,-100.25
0.0728706,-24,8,-100.25
0.0182081,0,-88,-92.25
0.0257864,-16,-80,-92.25
0.0300651,-8,-80,-92.25
0.0327696,0,-80,-92.25
0.0402796,8,-80,-92.25
0.017961,-24,-72,-92.25
0.0194434,-16,-72,-92.25
0.0213633,-8,-72,-92.25
0.0254874,0,-72,-92.25
0.0270365,8,-72,-92.25
0.0200549,16,-72,-92.25
0.016922,-24,-64,-92.25
0.0204725,-16,-64,-92.25
0.0227831,-8,-64,-92.25
0.0265115,0,-64,-92.25
0.0248572,8,-64,-92.25
0.0217205,16,-64,-92.25
0.0171276,-24,-56,-92.25
0.0223352,-16,-56,-92.25
0.024846,-8,-56,-92.25
0.0279804,0,-56,-92.25
0.0246515,8,-56,-92.25
0.0223029,16,-56,-92.25
0.0211228,-24,-48,-92.25
0.0270995,-16,-48,-92.25
0.0289141,-8,-48,-92.25
0.0282471,0,-48,-92.25
0.0233999,8,-48,-92.25
0.0225815,16,-48,-92.25
0.0176638,-32,-40,-92.25
0.0283091,-24,-40,-92.25
0.0319507,-16,-40,-92.25
0.0335239,-8,-40,-92.25
0.0304845,0,-40,-92.25
0.0258282,8,-40,-92.25
0.0243821,16,-40,-92.25
0.0200646,-32,-32,-92.25
0.030299,-24,-32,-92.25
0.0396408,-16,-32,-92.25
0.045283,-8,-32,-92.25
0.0420486,0,-32,-92.25
0.0301028,8,-32,-92.25
0.0296849,16,-32,-92.25
0.0324451,-32,-24,-92.25
0.0384535,-24,-24,-92.25
0.0482768,-16,-24,-92.25
0.0595383,-8,-24,-92.25
0.0351598,8,-24,-92.25
0.0393964,16,-24,-92.25
0.0406769,-32,-16,-92.25
0.0469942,-24,-16,-92.25
0.0497275,-16,-16,-92.25
0.0359238,-32,-8,-92.25
0.0429831,-24,-8,-92.25
0.0422399,-16,-8,-92.25
0.0414702,-32,0,-92.25
0.0448572,-24,0,-92.25
0.0361648,-16,0,-92.25
0.0343561,-8,0,-92.25
