Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.109511,16,-80,-104.5
0.0807319,24,-80,-104.5
0.0744213,16,-72,-104.5
0.0359645,24,-72,-104.5
0.0802864,8,-64,-104.5
0.0733186,16,-64,-104.5
0.0430704,24,-64,-104.5
0.0781407,0,-56,-104.5
0.0742289,8,-56,-104.5
0.0526663,16,-56,-104.5
0.0395961,-8,-48,-104.5
0.0773322,0,-48,-104.5
0.0629083,8,-48,-104.5
0.0447794,-8,-40,-104.5
0.0622792,0,-40,-104.5
0.0336562,-8,-32,-104.5
0.0288469,0,-32,-104.5
0.0719878,-8,-24,-104.5
0.0837364,-8,-16,-104.5
0.0878253,-16,-8,-104.5
0.0958797,-8,-8,-104.5
0.089768,-16,0,-104.5
0.110956,-8,8,-104.5
0.106961,8,-88,-96.5
0.110788,16,-88,-96.5
0.077375,24,-88,-96.5
0.0777665,8,-80,-96.5
0.0644917,16,-80,-96.5
0.0280196,24,-80,-96.5
0.0446226,0,-72,-96.5
0.0736366,8,-72,-96.5
0.0620284,16,-72,-96.5
0.0285599,24,-72,-96.5
-0.000599541,-8,-64,-96.5
0.0598485,0,-64,-96.5
0.0733667,8,-64,-96.5
0.0694391,16,-64,-96.5
0.0419097,24,-64,-96.5
0.00935237,32,-64,-96.5
0.0333912,-8,-56,-96.5
0.0783197,0,-56,-96.5
0.0735343,8,-56,-96.5
0.063857,16,-56,-96.5
0.0511861,24,-56,-96.5
0.0380048,32,-56,-96.5
0.0138129,-16,-48,-96.5
0.0544322,-8,-48,-96.5
0.0818242,0,-48,-96.5
0.0657241,8,-48,-96.5
0.049906,16,-48,-96.5
0.0609854,24,-48,-96.5
0.0624609,32,-48,-96.5
0.0375597,-16,-40,-96.5
0.0644627,-8,-40,-96.5
0.0779785,0,-40,-96.5
0.0415455,8,-40,-96.5
0.0410894,32,-40,-96.5
0.0577906,-16,-32,-96.5
0.0694529,-8,-32,-96.5
0.048565,0,-32,-96.5
0.0454918,32,-32,-96.5
0.0795217,-16,-24,-96.5
0.0729533,-8,-24,-96.5
0.0201478,0,-24,-96.5
0.0568844,32,-24,-96.5
0.0889564,-16,-16,-96.5
0.0801307,-8,-16,-96.5
0.00153832,32,-16,-96.5
0.091663,-24,-8,-96.5
0.0889804,-16,-8,-96.5
0.0796827,-8,-8,-96.5
0.0807552,0,-8,-96.5
0.110448,-24,0,-96.5
0.0929936,-16,0,-96.5
0.0842014,-8,0,-96.5
0.0896875,0,0,-96.5
0.0971405,8,0,-96.5
0.122976,-24,8,-96.5
0.0968936,-16,8,-96.5
0.0854367,-8,8,-96.5
0.0927805,0,8,-96.5
0.105874,8,8,-96.5
0.0481514,16,8,-96.5
0.0965313,-16,16,-96.5
0.0832527,-8,16,-96.5
0.111083,0,16,-96.5
0.121931,8,16,-96.5
0.0762849,16,-96,-88.5
0.0943234,24,-96,-88.5
-0.00902334,0,-88,-88.5
0.0653635,8,-88,-88.5
0.0827315,16,-88,-88.5
0.0637425,24,-88,-88.5
-0.00684685,32,-88,-88.5
0.0246535,0,-80,-88.5
0.0617995,8,-80,-88.5
0.069851,16,-80,-88.5
0.0354272,24,-80,-88.5
-0.0516812,32,-80,-88.5
-0.00562423,-8,-72,-88.5
0.0292066,0,-72,-88.5
0.0712344,8,-72,-88.5
0.0721036,16,-72,-88.5
0.0337118,24,-72,-88.5
-0.0380502,32,-72,-88.5
0.0170563,-8,-64,-88.5
0.0512329,0,-64,-88.5
0.0761836,8,-64,-88.5
0.0783459,16,-64,-88.5
0.0462679,24,-64,-88.5
-0.00278161,32,-64,-88.5
0.0289181,-16,-56,-88.5
0.0458962,-8,-56,-88.5
0.0722933,0,-56,-88.5
0.0795034,8,-56,-88.5
0.0769988,16,-56,-88.5
0.0587351,24,-56,-88.5
0.0359551,32,-56,-88.5
-0.0842794,40,-56,-88.5
0.0471705,-16,-48,-88.5
0.0664746,-8,-48,-88.5
0.081664,0,-48,-88.5
0.0727488,8,-48,-88.5
0.0638028,16,-48,-88.5
0.0690033,24,-48,-88.5
0.0670404,32,-48,-88.5
0.031069,40,-48,-88.5
0.0615126,-24,-40,-88.5
0.0613002,-16,-40,-88.5
0.0788817,-8,-40,-88.5
0.0822657,0,-40,-88.5
0.0531319,8,-40,-88.5
0.0415566,16,-40,-88.5
0.0432488,24,-40,-88.5
0.0639655,32,-40,-88.5
0.0879781,40,-40,-88.5
0.0824973,-24,-32,-88.5
0.0834438,-16,-32,-88.5
0.0861463,-8,-32,-88.5
0.0612933,0,-32,-88.5
0.0630938,32,-32,-88.5
0.0954108,40,-32,-88.5
0.0888563,-24,-24,-88.5
0.0836404,-16,-24,-88.5
0.0805582,-8,-24,-88.5
0.033309,0,-24,-88.5
0.0666263,32,-24,-88.5
0.102693,40,-24,-88.5
0.0830791,-24,-16,-88.5
0.0794545,-16,-16,-88.5
0.071452,-8,-16,-88.5
0.0522574,0,-16,-88.5
0.0177066,32,-16,-88.5
0.0880739,40,-16,-88.5
0.0678306,-24,-8,-88.5
0.0760451,-16,-8,-88.5
0.0683438,-8,-8,-88.5
0.0243444,32,-8,-88.5
0.0647961,40,-8,-88.5
0.0724365,-24,0,-88.5
0.0778432,-16,0,-88.5
0.0695237,-8,0,-88.5
0.0616463,0,0,-88.5
0.0443567,8,0,-88.5
0.0317459,32,0,-88.5
0.0731883,40,0,-88.5
0.0741774,-24,8,-88.5
0.0817675,-16,8,-88.5
0.0726114,-8,8,-88.5
0.0729461,0,8,-88.5
0.061631,8,8,-88.5
0.038907,16,8,-88.5
0.041677,32,8,-88.5
0.0567011,-24,16,-88.5
0.0698035,-16,16,-88.5
0.064154,-8,16,-88.5
0.0903491,0,16,-88.5
0.0664036,8,16,-88.5
0.0653698,32,16,-88.5
0.0457589,-24,24,-88.5
0.0851648,16,-104,-80.5
0.114842,24,-104,-80.5
0.0135263,0,-96,-80.5
0.0595654,8,-96,-80.5
0.0789519,16,-96,-80.5
0.0912721,24,-96,-80.5
0.0294358,0,-88,-80.5
0.0618014,8,-88,-80.5
0.0815238,16,-88,-80.5
0.0647986,24,-88,-80.5
-0.00285679,32,-88,-80.5
0.00893012,-8,-80,-80.5
0.0298086,0,-80,-80.5
0.0639691,8,-80,-80.5
0.0790618,16,-80,-80.5
0.0503875,24,-80,-80.5
-0.0247352,32,-80,-80.5
0.00221193,-8,-72,-80.5
0.037093,0,-72,-80.5
0.0745762,8,-72,-80.5
0.0813553,16,-72,-80.5
0.049006,24,-72,-80.5
-0.0134792,32,-72,-80.5
-0.178184,40,-72,-80.5
0.00088964,-16,-64,-80.5
0.0282955,-8,-64,-80.5
0.054865,0,-64,-80.5
0.0804054,8,-64,-80.5
0.0839389,16,-64,-80.5
0.057352,24,-64,-80.5
0.0114286,32,-64,-80.5
-0.117184,40,-64,-80.5
0.0343309,-16,-56,-80.5
0.0537902,-8,-56,-80.5
0.0716956,0,-56,-80.5
0.0844627,8,-56,-80.5
0.0809974,16,-56,-80.5
0.0640024,24,-56,-80.5
0.0391581,32,-56,-80.5
-0.0539136,40,-56,-80.5
0.0553854,-24,-48,-80.5
0.0566091,-16,-48,-80.5
0.0703628,-8,-48,-80.5
0.080644,0,-48,-80.5
0.0765705,8,-48,-80.5
0.0633437,16,-48,-80.5
0.0671507,24,-48,-80.5
0.0746469,32,-48,-80.5
0.0562669,40,-48,-80.5
0.0751032,-24,-40,-80.5
0.0741913,-16,-40,-80.5
0.0827881,-8,-40,-80.5
0.0805858,0,-40,-80.5
0.0575353,8,-40,-80.5
0.035946,16,-40,-80.5
0.0389194,24,-40,-80.5
0.0690403,32,-40,-80.5
0.0867444,40,-40,-80.5
0.0911098,-24,-32,-80.5
0.0883766,-16,-32,-80.5
0.0839875,-8,-32,-80.5
0.0592489,0,-32,-80.5
0.00428004,24,-32,-80.5
0.052169,32,-32,-80.5
0.0826158,40,-32,-80.5
0.0886809,-24,-24,-80.5
0.0825333,-16,-24,-80.5
0.0745127,-8,-24,-80.5
0.0274994,0,-24,-80.5
0.0480504,32,-24,-80.5
0.0779978,40,-24,-80.5
0.0798686,-24,-16,-80.5
0.0785631,-16,-16,-80.5
0.0639651,-8,-16,-80.5
0.039283,0,-16,-80.5
0.0277083,32,-16,-80.5
0.0765742,40,-16,-80.5
0.0580065,-24,-8,-80.5
0.0717263,-16,-8,-80.5
0.0590205,-8,-8,-80.5
0.0328703,0,-8,-80.5
0.0368281,32,-8,-80.5
0.0699948,40,-8,-80.5
0.0445669,-24,0,-80.5
0.0707198,-16,0,-80.5
0.0610015,-8,0,-80.5
0.0425302,0,0,-80.5
0.0129334,8,0,-80.5
0.0490139,32,0,-80.5
0.0728857,40,0,-80.5
0.0436155,-24,8,-80.5
0.0779795,-16,8,-80.5
0.070043,-8,8,-80.5
0.0593332,0,8,-80.5
0.0349463,8,8,-80.5
0.0297632,16,8,-80.5
0.0381303,24,8,-80.5
0.0565128,32,8,-80.5
0.0673995,40,8,-80.5
0.0397723,-24,16,-80.5
0.0746692,-16,16,-80.5
0.0660363,-8,16,-80.5
0.070841,0,16,-80.5
0.0535103,8,16,-80.5
0.0436555,16,16,-80.5
0.0394596,24,16,-80.5
0.0646299,32,16,-80.5
0.0549491,-24,24,-80.5
0.035854,24,24,-80.5
0.0553608,32,24,-80.5
0.0678649,-24,32,-80.5
0.0937542,16,-112,-72.5
0.0735869,0,-104,-72.5
0.0835632,8,-104,-72.5
0.0983812,16,-104,-72.5
0.117491,24,-104,-72.5
0.00871852,-8,-96,-72.5
0.0537666,0,-96,-72.5
0.0798886,8,-96,-72.5
0.0921822,16,-96,-72.5
0.097072,24,-96,-72.5
0.0865549,32,-96,-72.5
0.0263993,-8,-88,-72.5
0.0562122,0,-88,-72.5
0.0786588,8,-88,-72.5
0.0926927,16,-88,-72.5
0.0790601,24,-88,-72.5
0.0378859,32,-88,-72.5
-0.069624,40,-88,-72.5
0.0152779,-16,-80,-72.5
0.0272369,-8,-80,-72.5
0.0492482,0,-80,-72.5
0.0776021,8,-80,-72.5
0.0904304,16,-80,-72.5
0.0671711,24,-80,-72.5
0.0186359,32,-80,-72.5
-0.106165,40,-80,-72.5
-0.00720491,-24,-72,-72.5
-0.0032835,-16,-72,-72.5
0.026776,-8,-72,-72.5
0.054038,0,-72,-72.5
0.085116,8,-72,-72.5
0.0895559,16,-72,-72.5
0.0618381,24,-72,-72.5
0.0188977,32,-72,-72.5
-0.0875385,40,-72,-72.5
0.00470985,-24,-64,-72.5
0.0172653,-16,-64,-72.5
0.0434797,-8,-64,-72.5
0.0640488,0,-64,-72.5
0.0871102,8,-64,-72.5
0.0885933,16,-64,-72.5
0.0638841,24,-64,-72.5
0.0299438,32,-64,-72.5
-0.0585192,40,-64,-72.5
0.0285878,-24,-56,-72.5
0.042141,-16,-56,-72.5
0.063552,-8,-56,-72.5
0.0771308,0,-56,-72.5
0.0896501,8,-56,-72.5
0.0841095,16,-56,-72.5
0.0669062,24,-56,-72.5
0.0490036,32,-56,-72.5
-0.0162097,40,-56,-72.5
0.0594096,-24,-48,-72.5
0.0607756,-16,-48,-72.5
0.074013,-8,-48,-72.5
0.0826362,0,-48,-72.5
0.0799415,8,-48,-72.5
0.0635627,16,-48,-72.5
0.0646028,24,-48,-72.5
0.0754152,32,-48,-72.5
0.063284,40,-48,-72.5
0.0667474,-32,-40,-72.5
0.0751094,-24,-40,-72.5
0.0771481,-16,-40,-72.5
0.0794167,-8,-40,-72.5
0.0775859,0,-40,-72.5
0.0570511,8,-40,-72.5
0.0244599,16,-40,-72.5
0.030594,24,-40,-72.5
0.0680991,32,-40,-72.5
0.090956,40,-40,-72.5
