Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.0323789,-4,-52,-112
-0.0719634,-12,4,-112
-0.0235671,-4,4,-112
-0.0914275,-12,12,-112
-0.0417057,-4,12,-112
0.0480335,-4,-76,-104
0.0410248,-12,-68,-104
0.0446462,-4,-68,-104
0.0310467,-12,-60,-104
0.0321091,-4,-60,-104
0.0341416,4,-60,-104
0.0291355,-12,-52,-104
0.0271646,-4,-52,-104
0.0309102,4,-52,-104
0.0207599,-20,-44,-104
0.0235402,-12,-44,-104
0.0234287,-4,-44,-104
0.0300268,4,-44,-104
0.00887805,-20,-36,-104
0.0397581,-20,-28,-104
0.029535,-28,-20,-104
0.0256411,-20,-20,-104
-0.00630211,-28,-12,-104
0.0181176,-20,-12,-104
0.0189501,-20,-4,-104
0.0267645,-12,-4,-104
0.0189898,-20,4,-104
0.0224231,-12,4,-104
0.0324916,-4,4,-104
0.0142056,-12,12,-104
0.0195568,-4,12,-104
0.0558154,-12,-84,-96
0.0560358,-4,-84,-96
0.0417207,-12,-76,-96
0.0463163,-4,-76,-96
0.0474869,4,-76,-96
0.0228429,-20,-68,-96
0.0324059,-12,-68,-96
0.0393842,-4,-68,-96
0.042496,4,-68,-96
0.0230471,-28,-60,-96
0.0251921,-20,-60,-96
0.0295634,-12,-60,-96
0.0339942,-4,-60,-96
0.0392204,4,-60,-96
0.0409008,12,-60,-96
0.01996,-28,-52,-96
0.0251317,-20,-52,-96
0.02704,-12,-52,-96
0.0274937,-4,-52,-96
0.0313249,4,-52,-96
0.0328864,12,-52,-96
0.0268056,-28,-44,-96
0.0262244,-20,-44,-96
0.0240071,-12,-44,-96
0.0198233,-4,-44,-96
0.0241132,4,-44,-96
0.0364951,12,-44,-96
0.0322415,-28,-36,-96
0.0237042,-20,-36,-96
0.0164873,-12,-36,-96
0.00667674,4,-36,-96
0.0433105,12,-36,-96
0.0324188,-28,-28,-96
0.0290262,-20,-28,-96
0.0124987,-12,-28,-96
0.0302943,-28,-20,-96
0.0252034,-20,-20,-96
0.0239128,-28,-12,-96
0.0239922,-20,-12,-96
0.0150885,-28,-4,-96
0.0280152,-20,-4,-96
0.0258318,-12,-4,-96
0.02906,-20,4,-96
0.0268759,-12,4,-96
0.0404755,-4,4,-96
0.0278229,-20,12,-96
0.0229049,-12,12,-96
0.0426959,-4,12,-96
0.0338949,-12,-92,-88
0.0495743,-4,-92,-88
0.0269185,-20,-84,-88
0.0400753,-12,-84,-88
0.0438222,-4,-84,-88
0.0275852,4,-84,-88
0.00634441,-28,-76,-88
0.0288217,-20,-76,-88
0.0365086,-12,-76,-88
0.0396416,-4,-76,-88
0.0364518,4,-76,-88
0.0300348,12,-76,-88
0.0156892,-28,-68,-88
0.0273243,-20,-68,-88
0.0315238,-12,-68,-88
0.0370289,-4,-68,-88
0.038982,4,-68,-88
0.0368915,12,-68,-88
0.0267015,20,-68,-88
0.0265569,-28,-60,-88
0.0319517,-20,-60,-88
0.0322389,-12,-60,-88
0.0359656,-4,-60,-88
0.0404323,4,-60,-88
0.0405308,12,-60,-88
0.0318337,20,-60,-88
0.0329359,-28,-52,-88
0.0371261,-20,-52,-88
0.0335713,-12,-52,-88
0.0334221,-4,-52,-88
0.036069,4,-52,-88
0.0369821,12,-52,-88
0.0315073,20,-52,-88
0.0439613,-36,-44,-88
0.0376687,-28,-44,-88
0.0392364,-20,-44,-88
0.0293868,-12,-44,-88
0.0226864,-4,-44,-88
0.0268562,4,-44,-88
0.0404164,12,-44,-88
0.0394801,20,-44,-88
0.0410077,-36,-36,-88
0.036508,-28,-36,-88
0.0354202,-20,-36,-88
0.0188825,-12,-36,-88
0.00385948,-4,-36,-88
0.00738287,4,-36,-88
0.0419253,12,-36,-88
0.0469216,20,-36,-88
0.0403672,-36,-28,-88
0.0354543,-28,-28,-88
0.0300768,-20,-28,-88
0.00624454,-12,-28,-88
0.0463703,12,-28,-88
0.0433097,20,-28,-88
0.0381444,-36,-20,-88
0.0378526,-28,-20,-88
0.0234571,-20,-20,-88
-0.00699282,-12,-20,-88
0.0416485,-28,-12,-88
0.0268014,-20,-12,-88
-0.02024,-12,-12,-88
0.0430786,-28,-4,-88
0.0365457,-20,-4,-88
0.0263627,-12,-4,-88
0.0446189,-28,4,-88
0.04667,-20,4,-88
0.0386954,-12,4,-88
0.0430901,-4,4,-88
0.0335952,20,4,-88
0.0469951,28,4,-88
0.0433184,-28,12,-88
0.0513755,-20,12,-88
0.0422349,-12,12,-88
0.0491483,-4,12,-88
0.0452939,20,12,-88
0.0620042,28,12,-88
0.0379496,20,20,-88
0.0369742,20,28,-88
0.00616992,-12,-100,-80
0.0243601,-20,-92,-80
0.0327684,-12,-92,-80
0.0385269,-4,-92,-80
0.0378334,4,-92,-80
0.031568,-28,-84,-80
0.0371169,-20,-84,-80
0.04143,-12,-84,-80
0.04473,-4,-84,-80
0.0439142,4,-84,-80
0.0347952,12,-84,-80
0.023295,-28,-76,-80
0.0296871,-20,-76,-80
0.0345015,-12,-76,-80
0.0358107,-4,-76,-80
0.0371366,4,-76,-80
0.0387699,12,-76,-80
0.0378856,20,-76,-80
0.0245879,-28,-68,-80
0.027757,-20,-68,-80
0.0313999,-12,-68,-80
0.0343859,-4,-68,-80
0.039013,4,-68,-80
0.0438404,12,-68,-80
0.036868,20,-68,-80
0.0315371,-36,-60,-80
0.0340942,-28,-60,-80
0.0321838,-20,-60,-80
0.0318931,-12,-60,-80
0.0345929,-4,-60,-80
0.0406932,4,-60,-80
0.0469635,12,-60,-80
0.0409069,20,-60,-80
0.0454415,-36,-52,-80
0.043423,-28,-52,-80
0.0395884,-20,-52,-80
0.0354588,-12,-52,-80
0.0355976,-4,-52,-80
0.0390549,4,-52,-80
0.0454948,12,-52,-80
0.0410543,20,-52,-80
0.053259,-36,-44,-80
0.0465213,-28,-44,-80
0.0435709,-20,-44,-80
0.0314411,-12,-44,-80
0.0247503,-4,-44,-80
0.0293387,4,-44,-80
0.045836,12,-44,-80
0.0442566,20,-44,-80
0.0486623,-36,-36,-80
0.0416959,-28,-36,-80
0.0361792,-20,-36,-80
0.016058,-12,-36,-80
0.0011674,-4,-36,-80
0.00605134,4,-36,-80
0.0439447,12,-36,-80
0.048062,20,-36,-80
0.0474895,-36,-28,-80
0.038208,-28,-28,-80
0.0277385,-20,-28,-80
0.00052613,-12,-28,-80
0.0399416,12,-28,-80
0.0461646,20,-28,-80
0.0471311,-36,-20,-80
0.0387046,-28,-20,-80
0.0165434,-20,-20,-80
-0.0176301,-12,-20,-80
0.0580265,20,-20,-80
0.0529403,-36,-12,-80
0.0458226,-28,-12,-80
0.0182368,-20,-12,-80
-0.0377743,-12,-12,-80
0.0441568,28,-12,-80
0.0527364,-36,-4,-80
0.0475342,-28,-4,-80
0.031517,-20,-4,-80
0.0148264,-12,-4,-80
0.0310116,20,-4,-80
0.0466124,28,-4,-80
0.0564012,-28,4,-80
0.050541,-20,4,-80
0.0370046,-12,4,-80
0.0239474,-4,4,-80
0.0354549,20,4,-80
0.0478499,28,4,-80
0.0764424,-28,12,-80
0.0760024,-20,12,-80
0.0631623,-12,12,-80
0.037411,-4,12,-80
0.0288312,4,12,-80
0.0265459,12,12,-80
0.0446404,20,12,-80
0.060033,28,12,-80
0.0288522,12,20,-80
0.048322,20,20,-80
0.0696885,28,20,-80
0.0438482,12,28,-80
0.0498101,20,28,-80
0.0714058,28,28,-80
0.0593291,20,36,-80
0.0106201,-20,-100,-72
0.0176812,-12,-100,-72
0.0261617,-4,-100,-72
0.0329599,4,-100,-72
0.0124437,-28,-92,-72
0.0278034,-20,-92,-72
0.0347821,-12,-92,-72
0.0359232,-4,-92,-72
0.0340387,4,-92,-72
0.0342923,12,-92,-72
0.0372316,-28,-84,-72
0.0347638,-20,-84,-72
0.0375153,-12,-84,-72
0.0378918,-4,-84,-72
0.0380105,4,-84,-72
0.034312,12,-84,-72
0.0297941,20,-84,-72
0.0309724,-28,-76,-72
0.0288398,-20,-76,-72
0.0307958,-12,-76,-72
0.0297673,-4,-76,-72
0.0307993,4,-76,-72
0.0364113,12,-76,-72
0.035509,20,-76,-72
0.00965372,-36,-68,-72
0.0283481,-28,-68,-72
0.0262311,-20,-68,-72
0.0268136,-12,-68,-72
0.0279881,-4,-68,-72
0.031896,4,-68,-72
0.0397413,12,-68,-72
0.0393502,20,-68,-72
0.0300292,-36,-60,-72
0.0354131,-28,-60,-72
0.0302292,-20,-60,-72
0.0279375,-12,-60,-72
0.0284566,-4,-60,-72
0.0332522,4,-60,-72
0.0436494,12,-60,-72
0.0459099,20,-60,-72
0.0421656,-36,-52,-72
0.044854,-28,-52,-72
0.0390676,-20,-52,-72
0.0338074,-12,-52,-72
0.0319766,-4,-52,-72
0.0344264,4,-52,-72
0.0448864,12,-52,-72
0.0469617,20,-52,-72
0.0349157,28,-52,-72
0.045447,-36,-44,-72
0.0494259,-28,-44,-72
0.0433795,-20,-44,-72
0.0313513,-12,-44,-72
0.0235838,-4,-44,-72
0.0270618,4,-44,-72
0.043553,12,-44,-72
0.0451419,20,-44,-72
0.0284958,28,-44,-72
0.0441463,-36,-36,-72
0.0444809,-28,-36,-72
0.0339784,-20,-36,-72
0.0159898,-12,-36,-72
-0.000366316,-4,-36,-72
0.00352371,4,-36,-72
0.0404784,12,-36,-72
0.0481379,20,-36,-72
0.031893,28,-36,-72
0.0405843,-36,-28,-72
0.0380181,-28,-28,-72
0.0230913,-20,-28,-72
-0.00529726,-12,-28,-72
-0.0234857,4,-28,-72
0.0341344,12,-28,-72
0.0484401,20,-28,-72
0.0433624,-36,-20,-72
0.0369952,-28,-20,-72
0.00903063,-20,-20,-72
0.0431062,20,-20,-72
0.0416621,28,-20,-72
0.0520471,-36,-12,-72
0.0449488,-28,-12,-72
0.00894455,-20,-12,-72
0.0310234,20,-12,-72
0.0545016,28,-12,-72
0.049808,-36,-4,-72
0.0493721,-28,-4,-72
0.0332325,-20,-4,-72
0.0172944,-12,-4,-72
0.0434304,20,-4,-72
0.0641925,28,-4,-72
0.0440375,-36,4,-72
0.0570442,-28,4,-72
0.0526267,-20,4,-72
0.0409698,-12,4,-72
0.0293418,-4,4,-72
0.0390725,20,4,-72
0.0621672,28,4,-72
0.041231,-36,12,-72
0.0637222,-28,12,-72
0.0671353,-20,12,-72
0.0609977,-12,12,-72
0.0362985,-4,12,-72
0.0396795,4,12,-72
0.0456459,12,12,-72
0.0454703,20,12,-72
0.0629824,28,12,-72
0.0433962,12,20,-72
0.0499104,20,20,-72
0.0615603,28,20,-72
0.0423709,12,28,-72
0.0537694,20,28,-72
0.0622139,28,28,-72
0.0609769,20,36,-72
0.0646947,28,36,-72
0.0713504,20,44,-72
0.00356917,-12,-108,-64
0.00634832,-4,-108,-64
0.0152972,4,-108,-64
0.0189981,-20,-100,-64
0.0211041,-12,-100,-64
0.0259108,-4,-100,-64
