Specific Ventilation (mL/mL),x (mm),y (mm),z (mm)
0.121492,-4,-44,-88.7
0.13266,4,-44,-88.7
0.0939188,-4,-36,-88.7
0.0991165,4,-36,-88.7
0.119614,12,-36,-88.7
0.0423359,-12,-28,-88.7
0.0349333,-4,-28,-88.7
0.0629989,4,-28,-88.7
0.0599396,12,-28,-88.7
0.0452456,-12,-20,-88.7
0.0564064,-4,-20,-88.7
0.0528993,4,-20,-88.7
0.110185,-20,-4,-88.7
0.062768,-20,4,-88.7
-0.0479835,-4,20,-88.7
-0.0140186,-12,28,-88.7
-0.0286105,-4,28,-88.7
-0.00439176,4,28,-88.7
-0.108659,4,36,-88.7
0.048199,-4,-52,-80.7
0.0803277,4,-52,-80.7
0.0579687,-12,-44,-80.7
0.0673326,-4,-44,-80.7
0.0808463,4,-44,-80.7
0.0937149,12,-44,-80.7
0.0916145,-20,-36,-80.7
0.0644933,-12,-36,-80.7
0.0635032,-4,-36,-80.7
0.0715299,4,-36,-80.7
0.0900822,12,-36,-80.7
0.0753948,-20,-28,-80.7
0.053946,-12,-28,-80.7
0.0547635,-4,-28,-80.7
0.0618114,4,-28,-80.7
0.0708873,12,-28,-80.7
0.082888,20,-28,-80.7
0.121742,-28,-20,-80.7
0.0598171,-20,-20,-80.7
0.0512061,-12,-20,-80.7
0.0558827,-4,-20,-80.7
0.0596404,4,-20,-80.7
0.0691764,12,-20,-80.7
0.0835139,20,-20,-80.7
0.135645,-28,-12,-80.7
0.0607771,-20,-12,-80.7
0.0628255,-12,-12,-80.7
0.0621517,-4,-12,-80.7
0.0525125,4,-12,-80.7
0.0641231,12,-12,-80.7
0.0767765,20,-12,-80.7
0.120525,-28,-4,-80.7
0.0592281,-20,-4,-80.7
0.0613668,12,-4,-80.7
0.0649202,20,-4,-80.7
0.095688,-28,4,-80.7
0.0637038,-20,4,-80.7
0.0830351,20,4,-80.7
0.0705482,-28,12,-80.7
0.0609225,-20,12,-80.7
0.0593564,20,12,-80.7
0.0711769,-28,20,-80.7
0.0644605,-20,20,-80.7
0.0627727,-12,20,-80.7
0.0904883,-28,28,-80.7
0.0813995,-20,28,-80.7
0.0493651,-12,28,-80.7
0.0470674,-4,28,-80.7
0.0726047,4,28,-80.7
